patient_id,ic50
22RV1,2.097218728266237
2313287,4.144645562177774
42MGBA,4.041165508396576
A427,4.895357673212556
BFTC905,4.471117960045987
C32,5.490000829363621
EFO27,3.0239366626612663
EN,5.08846755855158
EPLC272H,3.241459298717781
HCC1143,1.6937944008087191
HCC1954,2.2347639389118856
HCC366,4.8130507358090044
HDMYZ,4.875340698616933
HH,3.7493529048357375
HL60,3.4857894038901387
HPAC,5.130422372225869
HSC4,5.117409664267654
HT1080,4.616751691488575
KE37,4.4157465543486465
KNS62,5.204292853124115
KYM1,5.014625427924147
KYSE510,3.685893255696234
LAMA84,4.202256486844484
LCLC97TM1,5.2732960599908765
LXF289,4.61974386156255
MEWO,4.932981973601407
MV411,3.75965810669714
NCIH1299,4.647043464139605
NCIH1341,2.232799858541231
NCIH1838,4.80721446265423
NCIH1876,4.14817803993204
NCIH2052,6.173383611283299
NCIH596,4.274613886168356
NCIH810,5.9360215175783875
NCIN87,4.88626619401398
ONS76,4.915130608999487
OVISE,5.241991798762712
PANC0403,5.1755265961027135
PANC0813,4.92429133681835
PSN1,5.823355704829359
QGP1,5.02287015520044
RAJI,3.510223096427384
SCC4,4.1461232139588065
SKLMS1,4.8535306320371765
SNU1,3.191907893805242
SNU398,5.163663723696049
SUPM2,3.1058178947876653
SW1116,5.709164505318845
SW1573,5.789827807440355
SW1990,5.137641326488242
SW837,5.041403621478127
TE1,3.3117280076425324
TE6,5.314814706823357
TT2609C02,5.837682975188151
UACC62,5.652611880429799
