patient_id,ic50
22RV1,2.602806006739733
2313287,4.562830249814796
42MGBA,4.0715375574872485
A427,5.780202513947136
BFTC905,4.197866642267956
C32,4.217356161319674
EFO27,4.626646032001294
EN,4.7979547949198365
EPLC272H,3.9730514467967546
HCC1143,3.9613522232623617
HCC1954,4.43497520190668
HCC366,4.783126590494168
HDMYZ,4.06738465273317
HH,3.187718238467367
HL60,2.877330076965981
HPAC,5.273132954753331
HSC4,3.894253812887572
HT1080,4.043792562037427
KE37,2.822203445497143
KNS62,4.679560904534606
KYM1,4.273305143007218
KYSE510,3.8338307063500654
LAMA84,3.732093232660653
LCLC97TM1,4.7292955820274285
LXF289,4.176195140027799
MEWO,5.4631091668534095
MV411,2.399878055419594
NCIH1299,4.042504776131378
NCIH1341,2.4178839543082127
NCIH1838,5.511301078788314
NCIH1876,3.335084694981505
NCIH2052,5.410131241454863
NCIH596,5.74017159017416
NCIH810,4.65633328729094
NCIN87,4.814899252411666
ONS76,4.705686924659626
OVISE,4.719908829575582
PANC0403,5.574603167884821
PANC0813,5.675848679403943
PSN1,5.060651988740773
QGP1,4.5541873144363345
RAJI,2.705395658266555
SCC4,3.979538504101603
SKLMS1,3.985008685729076
SNU1,3.831504235711589
SNU398,3.6896517586383197
SUPM2,2.1364355721085344
SW1116,5.818280669775794
SW1573,5.948000414773086
SW1990,5.567900146968168
SW837,6.573022184181228
TE1,5.491431544239328
TE6,3.813391389849639
TT2609C02,4.1291281524850225
UACC62,4.332593476815002
