patient_id,ic50
22RV1,2.3308311630179195
2313287,3.621345770643452
42MGBA,4.937848096778263
A427,6.596210992521799
BFTC905,3.621744306011023
C32,4.668034197177306
EFO27,5.150452047099719
EN,4.675713139609752
EPLC272H,4.690384623324673
HCC1143,4.817330365620942
HCC1954,5.270304942874165
HCC366,5.866205220984842
HDMYZ,5.0688753028036855
HH,3.113869617899465
HL60,2.4240479991558237
HPAC,4.745551267713813
HSC4,5.331188325390641
HT1080,5.2244880003294965
KE37,2.083693858110319
KNS62,4.250128881639964
KYM1,2.9402334023460117
KYSE510,4.733853053765294
LAMA84,2.0635531809937424
LCLC97TM1,4.716365647167864
LXF289,5.078867975186319
MEWO,5.1928664502977515
MV411,1.5330223760566541
NCIH1299,4.068943232667372
NCIH1341,3.6345057299147943
NCIH1838,5.359402179347558
NCIH1876,3.501280788083685
NCIH2052,5.455541670287138
NCIH596,6.514777639340451
NCIH810,3.3023080152916457
NCIN87,4.568600614862764
ONS76,4.490827014345765
OVISE,5.128987297046709
PANC0403,5.073763819136135
PANC0813,5.1112667602386965
PSN1,3.695313245773408
QGP1,3.7049961680553993
RAJI,1.2585820261751026
SCC4,5.811638155879359
SKLMS1,5.282966568066753
SNU1,2.8015476280450535
SNU398,4.344456692662149
SUPM2,1.852717104817411
SW1116,4.423450834415033
SW1573,4.384458755519972
SW1990,5.460292712511539
SW837,6.012795822975817
TE1,5.196691148267082
TE6,4.312558091933589
TT2609C02,5.216637050254198
UACC62,4.951207407734053
