patient_id,ic50
22RV1,2.6857809363817453
2313287,4.355464253281632
42MGBA,4.82524734171755
A427,4.804780576816926
BFTC905,4.26078625500813
C32,5.791355629186824
EFO27,5.523413733446609
EN,4.9091859869645065
EPLC272H,3.7794162803682303
HCC1143,5.090107619280817
HCC1954,4.677321162839833
HCC366,5.953693845025012
HDMYZ,5.28699016796746
HH,2.546172106321558
HL60,2.982433389094923
HPAC,6.229579403888138
HSC4,4.538026642290348
HT1080,4.904543023804762
KE37,2.353584986894056
KNS62,4.880628358705881
KYM1,3.667103506955791
KYSE510,4.233925906293412
LAMA84,4.359227087217581
LCLC97TM1,5.598052970622681
LXF289,5.63207708711679
MEWO,5.0078311757779295
MV411,1.8014692185099075
NCIH1299,4.45899755913744
NCIH1341,3.332592267155002
NCIH1838,5.934643951611799
NCIH1876,4.469413518663458
NCIH2052,5.400626981163484
NCIH596,6.4756145129564615
NCIH810,5.091864455349217
NCIN87,5.390012292672734
ONS76,5.300339671433462
OVISE,5.013007667972465
PANC0403,5.387723014531526
PANC0813,5.480464069568255
PSN1,6.028404533470374
QGP1,5.806380950634146
RAJI,2.934092250329618
SCC4,5.091240849493274
SKLMS1,3.8775436155683916
SNU1,4.4779767482401835
SNU398,3.9984910116005987
SUPM2,3.262360913165693
SW1116,5.182849582324651
SW1573,5.387366492529823
SW1990,6.103702041239649
SW837,6.15740771834024
TE1,5.072776697274229
TE6,4.408934647175531
TT2609C02,4.72085374108326
UACC62,5.2221513420916965
