patient_id,ic50
22RV1,3.224437095166593
2313287,4.493129613672731
42MGBA,4.6077432197592065
A427,4.001365497949173
BFTC905,4.663668066780689
C32,5.772201610408709
EFO27,5.488204060831807
EN,3.911739424197493
EPLC272H,5.7036429585477295
HCC1143,5.381225755913518
HCC1954,4.876413109870604
HCC366,5.400307141278451
HDMYZ,4.843449097400649
HH,2.317152150918285
HL60,4.163832031668569
HPAC,5.09060836788991
HSC4,6.149422331571715
HT1080,4.505384298485605
KE37,2.205685963109182
KNS62,5.314314411319383
KYM1,2.579306851889678
KYSE510,4.3997499938141615
LAMA84,5.084030383685493
LCLC97TM1,5.085196506613016
LXF289,5.5683266766950315
MEWO,5.103184820798252
MV411,3.150399479641652
NCIH1299,3.934358553643882
NCIH1341,3.3585309016971445
NCIH1838,4.882551085940452
NCIH1876,4.250471993395674
NCIH2052,5.698118596035229
NCIH596,6.289389009601711
NCIH810,3.22683397776152
NCIN87,5.761965220439536
ONS76,5.542272513425883
OVISE,4.128346490534769
PANC0403,5.633826217564655
PANC0813,5.475079344532578
PSN1,4.754637711814264
QGP1,4.550513904150282
RAJI,2.209598558460828
SCC4,5.319455275719718
SKLMS1,5.111142380499733
SNU1,3.7958139973550633
SNU398,2.980620655445631
SUPM2,2.1782288156336422
SW1116,5.269254127027676
SW1573,5.807668342005532
SW1990,6.182929134684012
SW837,6.180645068047427
TE1,5.585731417835907
TE6,5.07887192303317
TT2609C02,5.03237403319464
UACC62,5.503314708820909
