patient_id,ic50
22RV1,3.3941381465345946
2313287,3.146179689038868
42MGBA,4.142376857503025
A427,3.836077885494034
BFTC905,4.007534851990302
C32,3.920221810717683
EFO27,4.447324222376961
EN,3.72321397273784
EPLC272H,4.229976770908165
HCC1143,4.249410684547712
HCC1954,2.6971486059877856
HCC366,4.454007141213268
HDMYZ,4.172962632241384
HH,3.5659788922973377
HL60,3.1444543112141
HPAC,3.9930005099137387
HSC4,4.16415426962624
HT1080,4.300101223080508
KE37,3.4508254567152346
KNS62,3.446559956044034
KYM1,4.170089045133737
KYSE510,2.7916900848917514
LAMA84,4.618740550990321
LCLC97TM1,4.185347622688049
LXF289,4.41543584782068
MEWO,4.136960997212783
MV411,3.690282372754335
NCIH1299,4.275222504463137
NCIH1341,3.6197145945813656
NCIH1838,4.824137886245486
NCIH1876,3.9789803324112083
NCIH2052,4.802037399715153
NCIH596,4.506515989314279
NCIH810,3.7906052427075654
NCIN87,3.5822900076134347
ONS76,3.9120507767096835
OVISE,4.237975304515174
PANC0403,3.9970095056965795
PANC0813,3.9842716947334194
PSN1,5.0052400524588645
QGP1,2.7040021872430335
RAJI,3.531412506398593
SCC4,4.281412251827157
SKLMS1,4.772867246899857
SNU1,3.36435997761901
SNU398,3.622314020909607
SUPM2,3.7551144201932
SW1116,3.660217279882518
SW1573,4.553053426758953
SW1990,4.717064143054349
SW837,4.657639051409445
TE1,4.7427890904037175
TE6,4.257541289619306
TT2609C02,4.685001180749507
UACC62,3.940605127449837
