patient_id,ic50
22RV1,5.136922966680703
2313287,4.96398202495043
42MGBA,5.218187605978214
A427,5.068700484529317
BFTC905,5.352560702343379
C32,5.537499497976187
EFO27,6.1455476979930985
EN,5.202033943711667
EPLC272H,4.940295317078455
HCC1143,5.6727928919025015
HCC1954,5.253237284221488
HCC366,5.720172534427249
HDMYZ,5.751677508916647
HH,4.0788131104687535
HL60,4.475766134534915
HPAC,6.13088852279464
HSC4,5.637824033874645
HT1080,4.760720147849361
KE37,4.441741693196644
KNS62,5.393969206167319
KYM1,5.044080169779801
KYSE510,5.232621353513972
LAMA84,4.4783015407573155
LCLC97TM1,5.598776648932527
LXF289,5.308172883785035
MEWO,5.292008613415897
MV411,4.1183820481039435
NCIH1299,5.172463092609006
NCIH1341,4.569309270407882
NCIH1838,6.026183917368196
NCIH1876,5.007972313443508
NCIH2052,5.537043152647779
NCIH596,6.370552587415519
NCIH810,4.935566733913524
NCIN87,5.3510368944266595
ONS76,5.35789141327254
OVISE,5.6402838776010205
PANC0403,6.080701685617804
PANC0813,5.9602950518171856
PSN1,5.771369941348422
QGP1,5.714038997863765
RAJI,3.4427165606438104
SCC4,5.376024580939158
SKLMS1,5.385239671527709
SNU1,4.567174948877808
SNU398,4.700101470625162
SUPM2,4.272462586439294
SW1116,6.005406625697995
SW1573,5.597878223136872
SW1990,6.2611106332169415
SW837,5.873153842015295
TE1,5.849752777094396
TE6,5.710206222479946
TT2609C02,5.588924740752838
UACC62,5.375808578626919
