patient_id,ic50
22RV1,4.203369699204402
2313287,4.189574524739741
42MGBA,3.7501105204458733
A427,5.741027662057154
BFTC905,3.683076768695472
C32,1.3255592138671006
EFO27,4.106949202974931
EN,5.230455052145604
EPLC272H,3.9240373725651803
HCC1143,4.799976523661017
HCC1954,4.225030718751628
HCC366,3.994828742181493
HDMYZ,4.4428930246172005
HH,3.3221928298750076
HL60,3.3556869200762325
HPAC,5.15016984808408
HSC4,4.17939779740631
HT1080,3.8578334791286375
KE37,3.3881815930771513
KNS62,4.510615156667153
KYM1,3.8930880733243987
KYSE510,3.9019838766054966
LAMA84,3.2869639917135935
LCLC97TM1,5.357357740218573
LXF289,3.246692015067334
MEWO,1.504473285476136
MV411,2.5908447633043172
NCIH1299,3.639930465828606
NCIH1341,3.8879070786070553
NCIH1838,5.372927094245333
NCIH1876,4.570442354581061
NCIH2052,4.0792148363392835
NCIH596,5.745174277439994
NCIH810,5.138955493387257
NCIN87,4.855250286022987
ONS76,2.581297063736095
OVISE,4.041884301945985
PANC0403,4.970746434909459
PANC0813,4.919156517408311
PSN1,4.84985186319698
QGP1,4.4719025480287105
RAJI,3.3615142907475404
SCC4,3.4463345368173126
SKLMS1,4.028679458145112
SNU1,3.732473104701473
SNU398,4.859038220263393
SUPM2,2.5076863469212443
SW1116,5.4552656028826965
SW1573,4.805935555483873
SW1990,4.866782825075266
SW837,5.936799989904709
TE1,5.647418585671984
TE6,2.5580158284610697
TT2609C02,5.12943591295007
UACC62,1.796860811732862
