patient_id,ic50
22RV1,3.956939797774547
2313287,4.944540448956349
42MGBA,4.869698189537416
A427,4.484142311080716
BFTC905,5.819653340893483
C32,4.968361790462862
EFO27,5.903026447480449
EN,4.049122217098281
EPLC272H,5.04375680635372
HCC1143,4.410527734575831
HCC1954,5.0756366529516646
HCC366,5.443495060977109
HDMYZ,4.039192229789202
HH,2.590636432082959
HL60,3.0716037190079133
HPAC,5.909672527891022
HSC4,6.349095879327126
HT1080,2.5683926796313603
KE37,2.037671704464827
KNS62,6.219267669302701
KYM1,1.9081911714783137
KYSE510,5.6738688991515
LAMA84,3.1436192713736446
LCLC97TM1,5.071010250369717
LXF289,4.856451900819049
MEWO,4.334291393637178
MV411,2.465750306347533
NCIH1299,3.9321957838088983
NCIH1341,3.9896202941422083
NCIH1838,6.643130318951867
NCIH1876,5.1947582401132175
NCIH2052,5.990768938241645
NCIH596,6.846998865686457
NCIH810,5.054096670841645
NCIN87,5.705222125713109
ONS76,6.33383528692486
OVISE,5.162873565077928
PANC0403,6.428804710854983
PANC0813,5.709405256625595
PSN1,5.025915485066881
QGP1,6.95928357554617
RAJI,1.5180110449437523
SCC4,5.806044093770753
SKLMS1,3.6686295690451862
SNU1,1.8510957733313256
SNU398,3.7541571503214315
SUPM2,1.744146444043709
SW1116,6.355153322100484
SW1573,6.7635801705874155
SW1990,5.813588058848144
SW837,7.458713629360021
TE1,5.759259386298772
TE6,7.577137541537064
TT2609C02,4.448376990191339
UACC62,4.5873103741576085
