patient_id,ic50
22RV1,2.7714357575220707
2313287,2.507142181122612
42MGBA,3.3206832967367954
A427,4.303595111741726
BFTC905,3.055485882064249
C32,3.709462867436026
EFO27,4.665234294711343
EN,5.138011492015353
EPLC272H,3.6710266406574186
HCC1143,3.5527788841738017
HCC1954,4.505064185133886
HCC366,4.406935565328749
HDMYZ,4.099616844614077
HH,1.5347684163638071
HL60,2.0374012707440867
HPAC,1.9141603458677452
HSC4,4.059984838760115
HT1080,2.639989988721629
KE37,1.9231504927215626
KNS62,2.910002077386999
KYM1,2.794110624095139
KYSE510,2.815372506043781
LAMA84,1.5798126684423575
LCLC97TM1,3.2381965411118805
LXF289,2.008213737417778
MEWO,2.3629634107270956
MV411,1.5627253321970853
NCIH1299,2.8240993743945175
NCIH1341,3.3878550710456814
NCIH1838,4.087996731909417
NCIH1876,4.438554700343671
NCIH2052,3.7087342688653893
NCIH596,4.47546291269225
NCIH810,2.9726315396701057
NCIN87,3.3443992091224395
ONS76,3.7569858830905227
OVISE,3.024065225380614
PANC0403,3.6048219140305227
PANC0813,3.559239633535768
PSN1,3.535531259472808
QGP1,3.719734827444053
RAJI,0.822778670662752
SCC4,2.7736833567635113
SKLMS1,3.8298914371629182
SNU1,1.9416889118039748
SNU398,2.8104606112966075
SUPM2,0.8251563100745627
SW1116,3.436962876081384
SW1573,4.733692603531624
SW1990,3.99092599901889
SW837,4.898443872211201
TE1,4.188577446802142
TE6,4.184616935032793
TT2609C02,5.328713683521512
UACC62,3.382333379339824
