patient_id,ic50
22RV1,-3.5069168543148095
2313287,-3.9296973758162297
42MGBA,-3.0304471836460314
A427,-1.578831700375451
BFTC905,-6.036688727527236
C32,-1.6845243826248804
EFO27,-2.1407620941445806
EN,-1.4631995609313324
EPLC272H,-4.348686762579692
HCC1143,-3.2332139977257865
HCC1954,-3.6189009109833776
HCC366,-0.648568628332908
HDMYZ,-2.273518327623109
HH,-3.7206265014313997
HL60,-4.067303848991552
HPAC,-1.6507601522782387
HSC4,-2.993263984060636
HT1080,-2.3233213251684774
KE37,-4.52282130375081
KNS62,-3.2723688434138722
KYM1,-2.3472914822346787
KYSE510,-3.7506173450496645
LAMA84,-3.976896703791155
LCLC97TM1,-2.5125630737385496
LXF289,-3.12543829939529
MEWO,-1.4053971061965933
MV411,-4.726181592260433
NCIH1299,-4.228445654004076
NCIH1341,-3.240283098296421
NCIH1838,-1.499223074604334
NCIH1876,-2.3417487345523678
NCIH2052,-0.5473415937969666
NCIH596,-0.3491638963455195
NCIH810,-3.142017496604258
NCIN87,-3.4996883932396186
ONS76,-3.2035942257204444
OVISE,-0.5307183179704325
PANC0403,-0.7495395607702262
PANC0813,-1.045362525065181
PSN1,-1.4395774861025963
QGP1,-0.6342485107735027
RAJI,-4.448211575078983
SCC4,-3.1055468489513727
SKLMS1,-1.558715643704757
SNU1,-3.441171166024625
SNU398,-3.4900468253695576
SUPM2,-3.8280029185321807
SW1116,-1.8172681257955472
SW1573,-2.3847964766284973
SW1990,-0.3669838529535836
SW837,-0.6036897910249568
TE1,-1.6924245653810375
TE6,-3.5670829982943606
TT2609C02,-2.101886269405275
UACC62,-1.949344982850481
