patient_id,ic50
22RV1,2.8205863554639854
2313287,3.2132822891520383
42MGBA,3.8818958302680224
A427,5.018036067068535
BFTC905,3.0949912499245733
C32,4.037586617500836
EFO27,4.344814814046831
EN,4.071361197932726
EPLC272H,4.310299726454086
HCC1143,4.221759070910651
HCC1954,4.029708445926397
HCC366,5.558082052153749
HDMYZ,3.913986376454447
HH,2.025705278777231
HL60,1.7160585664864991
HPAC,3.92573140445381
HSC4,4.209598997763006
HT1080,2.0559946988027997
KE37,0.03605326034961864
KNS62,4.140336189548475
KYM1,2.6927411408092636
KYSE510,4.179773941748686
LAMA84,2.6596961781775543
LCLC97TM1,3.5148836420132885
LXF289,3.361395488193855
MEWO,3.4119682851473376
MV411,0.0956660539807026
NCIH1299,3.2900989354761907
NCIH1341,4.417101067806142
NCIH1838,4.833714677800052
NCIH1876,4.5826394135817
NCIH2052,4.552829650199112
NCIH596,5.871158613306709
NCIH810,4.313235463204865
NCIN87,3.349186671319343
ONS76,2.831232481261597
OVISE,5.635910570989315
PANC0403,4.182287769541755
PANC0813,4.325718388371378
PSN1,3.5121303814743996
QGP1,4.890991226375876
RAJI,1.625970112276971
SCC4,4.3703126447082665
SKLMS1,3.984754497035626
SNU1,1.7790419340582921
SNU398,2.4373301672371337
SUPM2,1.71899751434137
SW1116,3.7161578601125016
SW1573,3.8732252772754125
SW1990,3.5756454295306974
SW837,4.85586726489188
TE1,5.107412675563965
TE6,3.793397071412614
TT2609C02,4.153852343502515
UACC62,3.0407542060993507
