patient_id,ic50
22RV1,2.6779224005107474
2313287,3.3915464109897053
42MGBA,3.4060112906525974
A427,4.335386321931931
BFTC905,2.9063260481225703
C32,3.9168220282662354
EFO27,4.466817093326841
EN,3.192625652098794
EPLC272H,3.6749732680013882
HCC1143,3.943553916418758
HCC1954,3.023247988999944
HCC366,4.287989594043215
HDMYZ,3.6365348807914897
HH,2.3733229172564703
HL60,1.9538569553181826
HPAC,3.565064881365404
HSC4,3.323754599788258
HT1080,3.218484237464457
KE37,1.386387709170311
KNS62,3.3123335321458813
KYM1,3.0473164370455077
KYSE510,2.815663315796288
LAMA84,3.5989768029443954
LCLC97TM1,4.272886211458323
LXF289,3.1105559175238753
MEWO,3.925487087108161
MV411,1.6416994113618995
NCIH1299,3.054683553143371
NCIH1341,2.3807040329323375
NCIH1838,4.96001451524433
NCIH1876,2.5288096245253784
NCIH2052,4.086789433554617
NCIH596,4.282974743157843
NCIH810,2.4521782006321464
NCIN87,3.973763058087475
ONS76,2.903873590254135
OVISE,4.161877059204231
PANC0403,4.6580819599120264
PANC0813,4.297670909306403
PSN1,3.216580161446179
QGP1,3.160788747992843
RAJI,1.5732674431639642
SCC4,3.9482590065436227
SKLMS1,3.6404270596161026
SNU1,1.9219783830805206
SNU398,2.6850041410934593
SUPM2,2.2870820584746485
SW1116,4.670579251966115
SW1573,4.100017769566481
SW1990,4.21001806887291
SW837,4.661582993593818
TE1,3.7044655104385944
TE6,3.4867450563715514
TT2609C02,3.7744845509100777
UACC62,3.4834832643190876
