patient_id,ic50
22RV1,1.7044137774992154
2313287,0.3243990983924516
42MGBA,2.5454976182308733
A427,2.318042116576768
BFTC905,3.5143954296787183
C32,2.5485136871759013
EFO27,3.1154030330453546
EN,3.0605749394750283
EPLC272H,3.224650928389027
HCC1143,2.9897839508646546
HCC1954,2.73614113551775
HCC366,3.0285053634474344
HDMYZ,2.684035717471739
HH,2.0705426207429207
HL60,3.875345303721119
HPAC,2.9562974160436557
HSC4,3.5231647741464895
HT1080,2.6989314246884075
KE37,2.8129263680330503
KNS62,2.928407950405659
KYM1,2.8274888304010632
KYSE510,2.5184551234795682
LAMA84,3.2589671662638744
LCLC97TM1,3.5387665950818805
LXF289,2.7677666980993134
MEWO,2.479710933256678
MV411,3.095385722610798
NCIH1299,2.8060101743546646
NCIH1341,2.344937372656006
NCIH1838,2.7457702212334443
NCIH1876,3.750586075035917
NCIH2052,3.001687575081569
NCIH596,2.9840414550297605
NCIH810,2.927006811225003
NCIN87,2.9737425915807725
ONS76,2.6496157026036946
OVISE,3.4546812945985486
PANC0403,2.6336619921309445
PANC0813,3.217685148878141
PSN1,3.112588016072093
QGP1,0.3833091983567116
RAJI,2.516133393467501
SCC4,2.933693819151609
SKLMS1,2.5877097963450884
SNU1,1.6548592971292586
SNU398,2.7072608504681286
SUPM2,1.9552834459122714
SW1116,3.9331990481083765
SW1573,2.726683074352925
SW1990,3.152885167486952
SW837,3.293322271261036
TE1,3.112744802461729
TE6,3.2104872361978845
TT2609C02,3.083850259486271
UACC62,2.761390745801129
