patient_id,ic50
22RV1,4.08805980288783
2313287,4.783142040099474
42MGBA,4.352569553569623
A427,5.496042175441587
BFTC905,4.817039962694021
C32,5.386709856429607
EFO27,5.500386401861643
EN,5.140053481183109
EPLC272H,4.9685685394931705
HCC1143,5.387265009872989
HCC1954,4.542348169446869
HCC366,4.882066373541966
HDMYZ,5.5482868589108705
HH,3.329256555071622
HL60,3.0595445092900073
HPAC,4.911832348398044
HSC4,4.7118663614540255
HT1080,4.145575114178066
KE37,3.3657573882053486
KNS62,5.008373560262889
KYM1,4.886001674123279
KYSE510,4.569440594922651
LAMA84,3.9859487057678553
LCLC97TM1,4.89947267941953
LXF289,4.728170962876771
MEWO,4.613116467106497
MV411,2.905636403826798
NCIH1299,5.2558980629917835
NCIH1341,5.2610345406529415
NCIH1838,5.617819624695031
NCIH1876,5.459331182877607
NCIH2052,5.967548110781023
NCIH596,5.8746050105202965
NCIH810,4.532546174662247
NCIN87,4.855583362514259
ONS76,3.853147992896205
OVISE,4.85902466584086
PANC0403,5.629535121960774
PANC0813,5.046365537734114
PSN1,5.074974144489841
QGP1,4.920336513628385
RAJI,3.1769915400117092
SCC4,5.549213899777515
SKLMS1,5.063577176472427
SNU1,3.732616138622059
SNU398,3.7499069170675288
SUPM2,3.1245243626923003
SW1116,5.642509102895295
SW1573,5.91334523871714
SW1990,5.688787374253449
SW837,5.525444443086789
TE1,5.693919303038075
TE6,4.602370110333708
TT2609C02,5.3824541006915805
UACC62,5.952923829645282
