patient_id,ic50
22RV1,-2.3294350336730045
2313287,-2.2003195220049254
42MGBA,-3.707330567801773
A427,0.4984537106174285
BFTC905,-2.3265769951082333
C32,-2.2955734065515436
EFO27,-0.9522930971118968
EN,-1.76206540775895
EPLC272H,-1.2312298481287245
HCC1143,-1.1429438009815158
HCC1954,-2.8171034939277275
HCC366,-1.3361150904317993
HDMYZ,-2.5815626432419188
HH,-4.348166941077501
HL60,-3.101589527920853
HPAC,-1.2100643487268927
HSC4,-1.320497475509982
HT1080,-3.126119079588726
KE37,-3.0402249283977496
KNS62,-2.5323215932006797
KYM1,-2.693529032840753
KYSE510,-2.1366579024135155
LAMA84,-2.1327688611723086
LCLC97TM1,-0.4506448627937003
LXF289,-2.32796945858076
MEWO,-2.3491894340994146
MV411,-3.2801907206853347
NCIH1299,-0.9845300530185452
NCIH1341,-2.4293244637484075
NCIH1838,-1.2089183782586592
NCIH1876,-1.4735336469939084
NCIH2052,-0.2504179455214399
NCIH596,-1.3020019451361096
NCIH810,-2.1402394133900065
NCIN87,-1.6316835089454913
ONS76,-3.362635571533361
OVISE,-0.47791472238051314
PANC0403,-1.2625493818115865
PANC0813,-0.4788441148919822
PSN1,-1.4179575396635666
QGP1,-1.246405516367013
RAJI,-4.189750167962693
SCC4,-2.6657805767805005
SKLMS1,-2.1213597656453045
SNU1,-3.224199304925079
SNU398,-3.172797818034451
SUPM2,-5.091913738627007
SW1116,-0.5978038581938436
SW1573,-0.40632338600026086
SW1990,-1.348330362562971
SW837,-0.41938969956988625
TE1,-1.3848430771250864
TE6,-0.5876451815937769
TT2609C02,-0.9178784852862281
UACC62,-3.456527237724399
