patient_id,ic50
22RV1,3.822661468933943
2313287,3.015689751175215
42MGBA,3.2392652880185175
A427,3.550306528978482
BFTC905,5.793293557100151
C32,3.504602369048731
EFO27,4.808756057982931
EN,5.854376737430872
EPLC272H,4.0150728394143025
HCC1143,4.466019995881262
HCC1954,3.6245527141154206
HCC366,4.592428822031222
HDMYZ,4.533376133497216
HH,2.247171347190013
HL60,2.613924463271423
HPAC,5.121311911256113
HSC4,3.660640637030125
HT1080,3.7366285214113684
KE37,2.5028182514015156
KNS62,3.2251173803805817
KYM1,3.249330596009464
KYSE510,2.6379313795770756
LAMA84,2.9175897063806757
LCLC97TM1,5.05014731979214
LXF289,4.689365451645322
MEWO,3.638343685792174
MV411,2.1694145850646995
NCIH1299,4.1510194608223
NCIH1341,2.9668267258871013
NCIH1838,4.84568175908609
NCIH1876,5.951297469059519
NCIH2052,5.037379480612319
NCIH596,4.174030630587003
NCIH810,4.391536203934784
NCIN87,3.6723426230493756
ONS76,3.726770013991415
OVISE,6.223685645370004
PANC0403,4.412669925633051
PANC0813,4.633106722833274
PSN1,4.28588592755054
QGP1,4.435869997987744
RAJI,2.307352233537153
SCC4,3.7253500341655243
SKLMS1,4.340619636316839
SNU1,2.296669196166796
SNU398,4.274912885242573
SUPM2,2.414046900408426
SW1116,4.567775747731039
SW1573,5.187139886116735
SW1990,4.100519519863211
SW837,5.071774060999337
TE1,4.7560347736575235
TE6,4.695456959071276
TT2609C02,4.757930341389604
UACC62,3.8331847726852684
