patient_id,ic50
22RV1,3.622641297428743
2313287,3.7878092597101847
42MGBA,4.925837763019194
A427,5.988998776019156
BFTC905,4.846240930957618
C32,5.539443877733317
EFO27,5.800489756927921
EN,5.5470549990204745
EPLC272H,5.526818731916701
HCC1143,5.20909169492613
HCC1954,5.329701532979176
HCC366,6.129948852231495
HDMYZ,5.8134844656803155
HH,3.0360405559024137
HL60,3.2404169072514075
HPAC,5.842773046423989
HSC4,5.796079383336426
HT1080,4.365171547780524
KE37,3.5150382035602044
KNS62,5.044703467486162
KYM1,3.7810838828425792
KYSE510,4.592451113916599
LAMA84,2.836277337643921
LCLC97TM1,5.50540894836564
LXF289,5.005716482425074
MEWO,4.769588110593392
MV411,2.9954096434693542
NCIH1299,5.325605165520823
NCIH1341,4.082584884803886
NCIH1838,4.487835710686759
NCIH1876,4.781826860900801
NCIH2052,6.069723862802191
NCIH596,5.917390132617455
NCIH810,4.459399029671677
NCIN87,5.963135019859762
ONS76,5.4709383602800505
OVISE,5.561453493158041
PANC0403,5.851370860443209
PANC0813,5.958263078102461
PSN1,5.342655399833995
QGP1,4.980851226069683
RAJI,3.196133810947347
SCC4,5.158493926791099
SKLMS1,5.75571746789954
SNU1,3.762293643931269
SNU398,4.028349627287806
SUPM2,2.8476653200444355
SW1116,6.125686204191862
SW1573,6.0624875375893845
SW1990,6.225739102411057
SW837,6.3130726114762705
TE1,5.802450329435732
TE6,5.426771732869885
TT2609C02,5.878561939170834
UACC62,5.9631942035498025
