patient_id,ic50
22RV1,2.729184930200938
2313287,0.9465911557252595
42MGBA,1.1338732234464606
A427,1.8306819780914187
BFTC905,2.735351232178437
C32,1.5077750654999758
EFO27,2.038920802288476
EN,2.6118478351335748
EPLC272H,1.1596154786316972
HCC1143,2.5976830889322167
HCC1954,2.166435384815521
HCC366,2.0098454263136607
HDMYZ,1.171630912262341
HH,1.3920442232459724
HL60,0.9513516969716953
HPAC,2.1361528978986413
HSC4,2.7868407629593372
HT1080,1.1863469725154512
KE37,1.964753019460103
KNS62,0.9128557721721202
KYM1,1.89934459578164
KYSE510,1.380102556849117
LAMA84,1.1038642097933484
LCLC97TM1,1.7160869670840304
LXF289,1.835368248878078
MEWO,1.4156361016678571
MV411,1.1778449452388553
NCIH1299,1.3245091852770587
NCIH1341,2.434573263632322
NCIH1838,2.186182228259135
NCIH1876,3.098901056755997
NCIH2052,1.3068482280933675
NCIH596,3.0635489263846862
NCIH810,2.1551685328811843
NCIN87,4.2859623188716744
ONS76,2.163404551226553
OVISE,1.219502947020206
PANC0403,1.3146528750787532
PANC0813,1.1055086121617677
PSN1,1.242443319991926
QGP1,2.7067755063253434
RAJI,1.4808671249899596
SCC4,1.5806861415351237
SKLMS1,1.3575391752662864
SNU1,1.6325910820674419
SNU398,1.8500885699422946
SUPM2,1.4365707786086523
SW1116,1.3147643953174855
SW1573,1.9904779465805562
SW1990,1.5159341649591833
SW837,4.030545507439526
TE1,2.2332394730515075
TE6,3.176868608880374
TT2609C02,1.4287245145184577
UACC62,1.3993534871591111
