patient_id,ic50
22RV1,2.334431176839262
2313287,1.7013763817281138
42MGBA,2.8915685450578623
A427,2.8567093640606336
BFTC905,0.628169553805817
C32,1.2914571839962046
EFO27,3.729891154048105
EN,3.7152476008808377
EPLC272H,1.4582737371989425
HCC1143,2.42554445735534
HCC1954,2.320683580043168
HCC366,2.987957670808494
HDMYZ,3.2649913514259854
HH,2.896799637374534
HL60,0.29361569692604395
HPAC,1.0129144618911474
HSC4,2.7707265637321665
HT1080,0.3982482892053787
KE37,2.3940646065469426
KNS62,1.2771508120416737
KYM1,1.5881272053759241
KYSE510,2.9830340930626447
LAMA84,0.17751733553614057
LCLC97TM1,0.5189782319232237
LXF289,3.049631625126265
MEWO,-1.1470651072321663
MV411,-0.6040376754245917
NCIH1299,2.1976331666478623
NCIH1341,5.207292559675219
NCIH1838,3.0855220433239143
NCIH1876,3.8777086844688347
NCIH2052,3.0764776256589217
NCIH596,3.3061610942122854
NCIH810,2.560985719080886
NCIN87,-0.01967545515821678
ONS76,1.2715597969138503
OVISE,2.194842311833754
PANC0403,1.2889701687189863
PANC0813,0.9571924852416509
PSN1,-0.5452726568911097
QGP1,2.3492812881637737
RAJI,2.2510691678617314
SCC4,1.7544852851135797
SKLMS1,2.2432321814382763
SNU1,0.6321935863510002
SNU398,2.588471630397076
SUPM2,1.770686109316098
SW1116,1.6405941297404123
SW1573,2.1164711962690035
SW1990,0.9143107757488527
SW837,2.11145415045063
TE1,2.6380733131824474
TE6,2.9412994107165864
TT2609C02,2.595902471626629
UACC62,0.4414561484424959
