patient_id,ic50
22RV1,-1.525437462796725
2313287,-0.5159187336481807
42MGBA,-0.4982148223190329
A427,-0.1771149563045809
BFTC905,-0.8253456033775008
C32,-0.5181723639405965
EFO27,0.7259939203137791
EN,-0.8815848606643116
EPLC272H,-0.2042975103244839
HCC1143,0.9286047065161263
HCC1954,0.3933324884926932
HCC366,0.923496557915483
HDMYZ,-0.08909667302119781
HH,-1.6581456295628745
HL60,-0.7219844568789288
HPAC,0.06936323281482393
HSC4,-0.9984103641654328
HT1080,0.12316340881679272
KE37,-1.8576147401520913
KNS62,0.04717128631699391
KYM1,-1.9620154489088448
KYSE510,-0.3316135738244512
LAMA84,-1.2174069914646217
LCLC97TM1,0.9047612305468422
LXF289,0.18513911291704233
MEWO,-0.19363931405477308
MV411,-1.0838698294589604
NCIH1299,-0.04909260752958394
NCIH1341,-1.4145265684100814
NCIH1838,0.5047546951311793
NCIH1876,-1.1433197785639018
NCIH2052,0.59147535988668
NCIH596,0.889891793295297
NCIH810,-0.40371235553179513
NCIN87,0.23930916778815114
ONS76,0.6712219122206435
OVISE,-0.8957874640718925
PANC0403,-0.09888454818756112
PANC0813,0.3566037676871878
PSN1,0.7508991999341486
QGP1,-0.49038290729897144
RAJI,-3.0788881404318627
SCC4,-0.09130952919454488
SKLMS1,0.3008883078410689
SNU1,-2.86080850822994
SNU398,-1.2628222669143763
SUPM2,-2.6878737153818206
SW1116,1.2204450090932866
SW1573,-0.3431084157313362
SW1990,-0.20716360690288185
SW837,1.9173966070959896
TE1,1.158029994636169
TE6,-0.5956358966313798
TT2609C02,0.5718130455025414
UACC62,-0.33547177727066985
