patient_id,ic50
22RV1,2.123198388977714
2313287,2.770035922127319
42MGBA,2.204758452861375
A427,1.8995420853372367
BFTC905,2.022829061445446
C32,2.060813912000831
EFO27,3.05327760426988
EN,2.6979089465042283
EPLC272H,1.8559881368297266
HCC1143,2.632205519239871
HCC1954,2.487786843198398
HCC366,2.8280105411719534
HDMYZ,2.1559093092489348
HH,1.5873438009383642
HL60,1.7251611042665358
HPAC,3.831525032937423
HSC4,2.4295800357740127
HT1080,2.994250407304314
KE37,1.6316611135247072
KNS62,3.1746670943714292
KYM1,1.401130511704068
KYSE510,2.7140679312726212
LAMA84,2.2469483409691944
LCLC97TM1,2.7930609396246746
LXF289,2.6693159738587062
MEWO,2.3480619533242857
MV411,1.6825549424192676
NCIH1299,2.2498614830089765
NCIH1341,1.2511527147229204
NCIH1838,3.580205537434086
NCIH1876,2.7193661882610063
NCIH2052,3.7728062562732436
NCIH596,3.5027738017341337
NCIH810,3.3273126321402087
NCIN87,2.844075038217583
ONS76,4.027795780772177
OVISE,2.789508119941565
PANC0403,3.5742473075536525
PANC0813,3.163549489934269
PSN1,2.322070670544044
QGP1,3.1821102163801727
RAJI,1.1934514365077302
SCC4,2.7829993572449743
SKLMS1,2.087059119568946
SNU1,2.054672725507638
SNU398,1.653308978408703
SUPM2,1.7074832681138408
SW1116,3.620304609508184
SW1573,3.067105690962343
SW1990,4.431923550979889
SW837,3.9349144752085037
TE1,2.817714355368978
TE6,2.305138468673675
TT2609C02,2.3792051317063603
UACC62,2.3705687017832853
