patient_id,ic50
22RV1,4.25865431564714
2313287,3.2844890426581257
42MGBA,5.038217382740017
A427,4.439123529677266
BFTC905,2.838953477698856
C32,0.6514821079391182
EFO27,4.445003797333853
EN,5.255032070087993
EPLC272H,4.298111170611647
HCC1143,4.262195041309713
HCC1954,3.408059697844654
HCC366,5.368594112392557
HDMYZ,3.317313449750551
HH,4.494084147977237
HL60,1.9503197249365374
HPAC,2.0047545192876535
HSC4,4.965119222712625
HT1080,1.7328293231656304
KE37,4.105053768067483
KNS62,3.4185638477769746
KYM1,3.6400695990865892
KYSE510,4.773663557947073
LAMA84,0.38365646358089345
LCLC97TM1,1.723819286446934
LXF289,4.283449119916038
MEWO,-0.6762657488758426
MV411,0.24506237896347516
NCIH1299,3.962604429109488
NCIH1341,5.744048157560245
NCIH1838,5.2497153960053256
NCIH1876,5.523602532557889
NCIH2052,4.292341628271837
NCIH596,4.930530152516265
NCIH810,5.208508289821886
NCIN87,2.0509961338208726
ONS76,4.62871533362274
OVISE,3.9986801730581365
PANC0403,1.835081483456582
PANC0813,2.7389098547279
PSN1,0.9654784947320847
QGP1,4.093377412668929
RAJI,4.598881011660464
SCC4,3.301039321868944
SKLMS1,4.114786187019262
SNU1,2.3394202799323027
SNU398,4.875045798654348
SUPM2,4.1287635225907415
SW1116,2.462493349660385
SW1573,3.2387479280878786
SW1990,4.079003581566526
SW837,3.258088979857072
TE1,5.127073816179471
TE6,3.9385898550648157
TT2609C02,4.8357261171200525
UACC62,-0.5117290178305542
