patient_id,ic50
22RV1,-4.134449652538613
2313287,-2.9799718792309586
42MGBA,-4.179575208448826
A427,-6.605099449524227
BFTC905,-3.6307469026319916
C32,-3.4536095376313107
EFO27,-3.2465620343227437
EN,-5.121486092349442
EPLC272H,-4.869271043511042
HCC1143,-3.8637116378607437
HCC1954,-3.016862085115049
HCC366,-4.673173966584425
HDMYZ,-3.7414861898972003
HH,-3.690882532495806
HL60,-3.948826861416258
HPAC,-3.5097001572019124
HSC4,-3.254845563862485
HT1080,-4.222937552392227
KE37,-2.8858142010957133
KNS62,-4.084777610611661
KYM1,-5.0897164298780435
KYSE510,-3.256190413132607
LAMA84,-3.7284843626052404
LCLC97TM1,-4.131320313109584
LXF289,-4.486279966328826
MEWO,-5.15553590974015
MV411,-4.077123616117528
NCIH1299,-5.90473522253091
NCIH1341,-3.9523361026419983
NCIH1838,-4.774700198799021
NCIH1876,-3.8480708702061435
NCIH2052,-2.4172845862665695
NCIH596,-3.3642747344336517
NCIH810,-2.3862706788576973
NCIN87,-2.676869333239818
ONS76,-5.584136177937779
OVISE,-4.137830483912485
PANC0403,-3.764558778381688
PANC0813,-3.009222785852686
PSN1,-3.9745996321192076
QGP1,-1.8475391759045534
RAJI,-4.890472205165834
SCC4,-5.344692127899613
SKLMS1,-4.799409607555535
SNU1,-4.226284109967809
SNU398,-4.518044643327036
SUPM2,-4.877932002996902
SW1116,-3.2973702267634817
SW1573,-3.8165639703013348
SW1990,-4.5358134772414935
SW837,-3.2793867125824754
TE1,-4.915853082878248
TE6,-2.338320792078709
TT2609C02,-5.452598053312952
UACC62,-5.156358137696715
