patient_id,ic50
22RV1,2.49808931048502
2313287,2.5574203236999926
42MGBA,3.602826110245958
A427,4.7029524934469435
BFTC905,3.2102341285600398
C32,4.322209407178109
EFO27,3.910262189761279
EN,3.666361341161077
EPLC272H,2.693962617648749
HCC1143,3.268338682065022
HCC1954,2.976120832852703
HCC366,4.354959980226363
HDMYZ,3.9419094448535157
HH,2.51109185057705
HL60,3.094436271217574
HPAC,4.222579544231745
HSC4,3.1123805080771647
HT1080,3.5583027613499194
KE37,2.373966053981741
KNS62,4.147271514095124
KYM1,2.664005879530783
KYSE510,2.8940044461450594
LAMA84,3.4512659206472813
LCLC97TM1,4.524375639809897
LXF289,3.8684967356003073
MEWO,4.247924932834297
MV411,2.5000107703982404
NCIH1299,3.4855532271400778
NCIH1341,2.433052471866709
NCIH1838,4.089623513107933
NCIH1876,2.7496612989926863
NCIH2052,4.21107056167521
NCIH596,4.068961797848269
NCIH810,3.2268933172504193
NCIN87,4.357920189892764
ONS76,3.063623551402205
OVISE,3.430429713166468
PANC0403,3.8985477044737027
PANC0813,4.387116135518768
PSN1,3.6552928296859517
QGP1,3.00977528269092
RAJI,2.296859933619097
SCC4,3.8781109702142547
SKLMS1,3.938563152206058
SNU1,3.2178671530228358
SNU398,3.624235056506007
SUPM2,1.6516978014041623
SW1116,4.578228487498471
SW1573,3.864520491358396
SW1990,5.104542011072837
SW837,5.030650731264865
TE1,3.3701686986989863
TE6,4.333962017014194
TT2609C02,3.8735931749652726
UACC62,4.915172267428964
