patient_id,ic50
22RV1,-2.33434466665942
2313287,-2.76326296615337
42MGBA,-4.2523588211376175
A427,-2.0283819422058986
BFTC905,-3.584975236567485
C32,-1.9194732642756502
EFO27,-1.9451965546518164
EN,-1.8518741068355276
EPLC272H,-3.041815138193181
HCC1143,-3.031179198850332
HCC1954,-2.45769041519452
HCC366,-2.7906621574166306
HDMYZ,-2.943405100765874
HH,-3.8554495144144
HL60,-4.428399520768667
HPAC,-2.7773696286936125
HSC4,-3.0760605923461313
HT1080,-3.5837198709285176
KE37,-3.766970911305286
KNS62,-3.1157570997864465
KYM1,-2.610265606400076
KYSE510,-3.4626049943326773
LAMA84,-3.769807242837186
LCLC97TM1,-2.4132384390601653
LXF289,-4.305961836202686
MEWO,-2.3267130047475053
MV411,-5.0299290053544325
NCIH1299,-2.62125605180119
NCIH1341,-2.3612056715491407
NCIH1838,-0.850773907996913
NCIH1876,-2.4455766709795537
NCIH2052,-3.0735606250009884
NCIH596,-2.7088704583355074
NCIH810,-2.646071655158928
NCIN87,-2.1756638476066716
ONS76,-4.651577527013122
OVISE,-2.0861543317779154
PANC0403,-2.3175472110417408
PANC0813,-2.832516112791223
PSN1,-2.796803018702491
QGP1,-1.7412950289665687
RAJI,-4.361644519401041
SCC4,-2.9471650265342935
SKLMS1,-3.8421531392811348
SNU1,-2.8218287887273927
SNU398,-2.081725550196058
SUPM2,-3.7315895735011964
SW1116,-1.928251011201802
SW1573,-1.9532259996817123
SW1990,-2.6623160561578803
SW837,-1.4935177579425205
TE1,-2.181686123570298
TE6,-2.95291687841197
TT2609C02,-2.6150730387375374
UACC62,-2.3271937493816224
