patient_id,ic50
22RV1,1.2650631444798108
2313287,4.616032855037769
42MGBA,2.7930011760269697
A427,5.787516209235737
BFTC905,2.716707212590998
C32,3.592446903321974
EFO27,4.217437409808973
EN,4.298333648558718
EPLC272H,3.883988204855065
HCC1143,4.318273625601292
HCC1954,4.007717227891624
HCC366,4.0072478996625325
HDMYZ,3.0873520974788233
HH,1.4808180888550269
HL60,1.8656953744701674
HPAC,4.547077691925984
HSC4,2.868029937740744
HT1080,3.3196283542489553
KE37,0.17097916266809587
KNS62,4.501555872931857
KYM1,2.0486940397195235
KYSE510,3.406706681556601
LAMA84,1.752035739045414
LCLC97TM1,1.878680383639289
LXF289,3.5488628851298714
MEWO,3.959208860245535
MV411,0.9206934675637317
NCIH1299,2.7829493186366787
NCIH1341,0.5966152473670516
NCIH1838,4.442672559317501
NCIH1876,1.2234139977010972
NCIH2052,3.890571382703661
NCIH596,4.543695924431081
NCIH810,2.0627335812629575
NCIN87,3.3382045351559393
ONS76,3.485547226917
OVISE,3.9257184686627964
PANC0403,4.79105741846737
PANC0813,5.055937719882854
PSN1,4.694724520077428
QGP1,3.5765446393664946
RAJI,1.0098085088777187
SCC4,3.7287984711460194
SKLMS1,2.205323244166947
SNU1,3.0792830941013314
SNU398,2.362393245693248
SUPM2,-0.8306979454978349
SW1116,5.01976123175044
SW1573,3.6748517969307
SW1990,3.5305414812928535
SW837,5.365671695636035
TE1,4.177580563479616
TE6,3.266089422517099
TT2609C02,2.575741107107886
UACC62,3.504229540996497
