patient_id,ic50
22RV1,2.4878088951821957
2313287,3.41740812323227
42MGBA,4.086508461735444
A427,4.144077563796074
BFTC905,3.4722967186200946
C32,4.082642957204438
EFO27,4.167509196733845
EN,3.5522840323921745
EPLC272H,3.6137864576113268
HCC1143,3.19409074131897
HCC1954,4.009972776549887
HCC366,4.841024849020359
HDMYZ,3.977841755831916
HH,2.4961660094997833
HL60,2.5162883857665648
HPAC,4.659436754897669
HSC4,3.7363585238601495
HT1080,3.0338830170467608
KE37,2.2911345313850093
KNS62,3.1595530458356054
KYM1,2.8001049449941378
KYSE510,2.5749394890896067
LAMA84,2.5830585271508566
LCLC97TM1,4.568489065448028
LXF289,4.383935807934712
MEWO,3.902419804160663
MV411,2.524882491716906
NCIH1299,3.6182910645300854
NCIH1341,3.265661384701571
NCIH1838,5.04285570883253
NCIH1876,4.079454092885431
NCIH2052,4.330367401375769
NCIH596,4.822897452289642
NCIH810,4.342782346732895
NCIN87,3.9889719545047617
ONS76,2.706065933790663
OVISE,4.017497403618769
PANC0403,4.013813453536639
PANC0813,4.167830408344153
PSN1,5.137682243728188
QGP1,5.144734266432339
RAJI,2.415884178452814
SCC4,3.9159613531376904
SKLMS1,4.510627890156526
SNU1,2.9768745882164365
SNU398,3.2840936687659656
SUPM2,2.2714341895286463
SW1116,3.830645574976077
SW1573,4.980070965315636
SW1990,4.8990846157134715
SW837,4.496899665653381
TE1,4.852334228945656
TE6,2.5340781438613744
TT2609C02,4.6301735673096225
UACC62,3.10005412808962
