patient_id,ic50
22RV1,5.3449682817941335
2313287,6.22139449107696
42MGBA,6.186547468049671
A427,5.7465499684586145
BFTC905,5.614210009249752
C32,6.570223987236972
EFO27,6.61055110469905
EN,5.888521405287899
EPLC272H,5.864729930505276
HCC1143,6.4119094765719575
HCC1954,6.14196852141223
HCC366,6.610880998246353
HDMYZ,6.397004908222108
HH,4.585727905166582
HL60,4.653526039342029
HPAC,7.244898209613219
HSC4,5.505543732994502
HT1080,5.385618326422821
KE37,4.791618790937633
KNS62,6.062053230507302
KYM1,6.096940796049117
KYSE510,6.214807155555717
LAMA84,3.230227723964241
LCLC97TM1,6.817945128268844
LXF289,6.37658016397825
MEWO,6.527414042484157
MV411,4.063313640564987
NCIH1299,5.62215522466014
NCIH1341,5.102753402278159
NCIH1838,7.40892931209448
NCIH1876,6.0751664219779915
NCIH2052,6.418432024532909
NCIH596,6.968233717621776
NCIH810,5.739946618565646
NCIN87,6.705764048741429
ONS76,6.367970634152719
OVISE,6.542157589909453
PANC0403,6.631374820311114
PANC0813,6.60805256282556
PSN1,6.456659320991427
QGP1,6.711785319580892
RAJI,4.441433997277964
SCC4,6.0924411675077685
SKLMS1,5.8345107008814034
SNU1,5.18016468296269
SNU398,6.001761669965703
SUPM2,3.2842335354913654
SW1116,6.8898459413710365
SW1573,6.967550212839516
SW1990,6.813298256848277
SW837,7.247031843609413
TE1,6.6293820909760335
TE6,6.476325464759406
TT2609C02,6.68226509461336
UACC62,6.979230228389813
