patient_id,ic50
22RV1,1.5012137163225683
2313287,2.2982768403334646
42MGBA,2.6221822913718347
A427,2.135814692916064
BFTC905,3.7835924110536863
C32,2.7959139173161596
EFO27,3.6355464502801955
EN,3.1778072756251152
EPLC272H,3.3946502420574642
HCC1143,3.370552406376936
HCC1954,2.531075843494504
HCC366,3.5563443932643493
HDMYZ,3.4776546531823365
HH,1.8834423701447154
HL60,3.0540487016590174
HPAC,3.6237747316749
HSC4,3.285836710343257
HT1080,2.593079031750147
KE37,1.9555438689595814
KNS62,3.6210061326014324
KYM1,3.2779460799205005
KYSE510,1.9143106012570466
LAMA84,2.8797075851544642
LCLC97TM1,4.218236444795283
LXF289,3.930584480960439
MEWO,2.303832039200585
MV411,2.7339245181900704
NCIH1299,3.2872113623778314
NCIH1341,1.8679528865431556
NCIH1838,3.110770535637615
NCIH1876,2.0674957995872196
NCIH2052,3.835621179137264
NCIH596,3.781367261838124
NCIH810,0.46451338872827774
NCIN87,2.764523815968716
ONS76,2.95823581580135
OVISE,3.8711330592879425
PANC0403,3.662091532442817
PANC0813,4.407589802501273
PSN1,3.2557222709115634
QGP1,0.2557862682154224
RAJI,1.9642261554292435
SCC4,3.184712263349318
SKLMS1,3.120190361956005
SNU1,1.4427776701107744
SNU398,2.625338884331984
SUPM2,1.9540665708850322
SW1116,4.617439890561689
SW1573,3.554503729207248
SW1990,3.4962340681408084
SW837,3.281840338489326
TE1,3.4918125532505457
TE6,2.1123037481108082
TT2609C02,3.5184441826597928
UACC62,2.8370261868456965
