patient_id,ic50
22RV1,1.3008886029814895
2313287,3.41973152423619
42MGBA,3.2817206307703466
A427,0.2150240177886409
BFTC905,2.663889596689745
C32,2.831124758338024
EFO27,4.361166737181812
EN,2.279409565247608
EPLC272H,2.248622298263776
HCC1143,3.2454839168275162
HCC1954,3.834914439859694
HCC366,3.8351436244620443
HDMYZ,2.9847682826753466
HH,2.01258662383725
HL60,2.909799269518883
HPAC,4.379074725667507
HSC4,2.6829164798246796
HT1080,3.066398469987354
KE37,2.309902931192075
KNS62,2.415971269185659
KYM1,1.2114684802275282
KYSE510,2.1255148677968796
LAMA84,2.642137541596519
LCLC97TM1,3.1689914468820644
LXF289,3.7345696480659054
MEWO,2.2503448582085825
MV411,2.7219298637590605
NCIH1299,1.151408303068574
NCIH1341,2.759979769159519
NCIH1838,3.616079129736371
NCIH1876,2.1594029073291994
NCIH2052,4.501139052721477
NCIH596,4.741917372182624
NCIH810,2.425295551665885
NCIN87,3.2220687530770773
ONS76,1.8547605940965506
OVISE,3.519051958981822
PANC0403,3.272496446283018
PANC0813,3.682859773152106
PSN1,3.788156950407012
QGP1,3.1518443087243435
RAJI,2.149587630465675
SCC4,3.7821481797339676
SKLMS1,3.1965804124760684
SNU1,1.7297182852482493
SNU398,2.3738611466678887
SUPM2,2.299093564243502
SW1116,3.8431788538348997
SW1573,3.159749084560154
SW1990,4.35181942777665
SW837,3.5159912938509494
TE1,4.105464222271124
TE6,3.680648922268458
TT2609C02,3.161745469640473
UACC62,2.5111208265423093
