patient_id,ic50
22RV1,0.9536203805091918
2313287,1.6912686400134298
42MGBA,2.647726696890712
A427,3.299619499770756
BFTC905,2.571509006464174
C32,2.3266268269094983
EFO27,3.9323848748834873
EN,4.258670655450748
EPLC272H,3.3883100617685495
HCC1143,2.780568133603252
HCC1954,0.2326249129592144
HCC366,4.62305778467344
HDMYZ,3.5479524271369383
HH,2.6729562607559934
HL60,2.6415708253460037
HPAC,3.425148542828305
HSC4,2.468116268973438
HT1080,2.7941741797007933
KE37,1.062815731766492
KNS62,3.038699282981558
KYM1,3.407892942751657
KYSE510,1.4688325898212542
LAMA84,3.451617772022745
LCLC97TM1,3.6830505953626997
LXF289,3.7209953809260847
MEWO,2.1734405046221728
MV411,1.8585472201297821
NCIH1299,4.315290998839475
NCIH1341,0.8640719095427309
NCIH1838,3.7425292875991296
NCIH1876,4.140901078196605
NCIH2052,4.388770613833086
NCIH596,2.455677036719131
NCIH810,1.7194133674346324
NCIN87,2.8994763160268855
ONS76,2.8299962720055203
OVISE,4.185814711231032
PANC0403,3.5111144515431283
PANC0813,4.198343438726528
PSN1,5.324559710010206
QGP1,3.389357314626312
RAJI,1.3612109025460453
SCC4,2.2979438972732393
SKLMS1,3.4911342952673796
SNU1,-0.4741533974274619
SNU398,3.28176746801724
SUPM2,2.7702351984230913
SW1116,4.208152982295361
SW1573,4.067916530375258
SW1990,6.195436828802642
SW837,3.323015143826105
TE1,2.7508038200898013
TE6,2.7103700341198955
TT2609C02,4.460931147584234
UACC62,2.176068762040621
