patient_id,ic50
22RV1,2.5574840171106796
2313287,2.2937295538893636
42MGBA,3.9023506765070612
A427,4.049427108901494
BFTC905,2.327159064092342
C32,4.250763100854845
EFO27,5.046951538921784
EN,4.191024946824392
EPLC272H,3.065882582054956
HCC1143,3.560553709553807
HCC1954,2.888534806184551
HCC366,3.9233017511053774
HDMYZ,4.700246016574769
HH,1.8522815933713308
HL60,1.9373218717185003
HPAC,3.8837076011538554
HSC4,4.632819638005688
HT1080,2.8458710129135425
KE37,0.49587209129985554
KNS62,1.9021340542662686
KYM1,3.2330956794467762
KYSE510,2.2258046819639654
LAMA84,-0.0211918599587948
LCLC97TM1,3.5518091355639694
LXF289,3.2461634737158453
MEWO,4.460671399515986
MV411,0.7990232906808834
NCIH1299,3.623556897123817
NCIH1341,3.447807309850821
NCIH1838,4.53750859252361
NCIH1876,4.719417644679823
NCIH2052,5.670228331707772
NCIH596,4.161525788855706
NCIH810,4.576754657593198
NCIN87,3.296893204662044
ONS76,3.5863690511232895
OVISE,3.2370434339207548
PANC0403,3.4814213789902873
PANC0813,3.987475293825166
PSN1,2.4567404804524995
QGP1,4.454128573687768
RAJI,0.21978748485407174
SCC4,3.826208933408634
SKLMS1,4.343205138317918
SNU1,1.9174935609055164
SNU398,2.875671431906416
SUPM2,0.5888452013045544
SW1116,3.5523875422314752
SW1573,5.450673586200398
SW1990,3.1732886037394303
SW837,5.585822806104119
TE1,3.9549413756640117
TE6,2.899907042783405
TT2609C02,4.026764241193228
UACC62,4.145882539578785
