patient_id,ic50
22RV1,3.3981418479219543
2313287,3.7879424471362446
42MGBA,3.894335409763202
A427,5.069865959736818
BFTC905,3.791064695983182
C32,4.2779200284040435
EFO27,3.580343697238038
EN,4.692929454150937
EPLC272H,3.9429022700097027
HCC1143,4.035326034334591
HCC1954,4.501065168614847
HCC366,5.115676215905126
HDMYZ,4.587920571980649
HH,2.437235534377319
HL60,3.160381527333015
HPAC,4.464770433646328
HSC4,4.338407093943364
HT1080,3.422751730436003
KE37,1.8513233665012243
KNS62,4.3359843577951835
KYM1,4.374607207609759
KYSE510,4.020537140600422
LAMA84,1.0349921478204847
LCLC97TM1,4.7824977673660145
LXF289,4.1242436298940275
MEWO,4.473069945530315
MV411,1.4314256566414998
NCIH1299,3.386033499625076
NCIH1341,4.333799991691967
NCIH1838,5.425958143381855
NCIH1876,4.361713433812293
NCIH2052,5.729622781268054
NCIH596,6.5735405451694495
NCIH810,4.451317915415312
NCIN87,3.424096684662768
ONS76,4.645310752028731
OVISE,4.909876876674927
PANC0403,5.370102659603152
PANC0813,5.508483148656065
PSN1,5.023901213163741
QGP1,5.064356611587572
RAJI,1.5253953958075455
SCC4,3.9634498045868196
SKLMS1,4.3570778631654425
SNU1,3.4473086697233764
SNU398,3.6656745137940043
SUPM2,0.9763713026246377
SW1116,4.372474466165254
SW1573,5.2108040321489275
SW1990,5.014023784611269
SW837,5.043186758115555
TE1,5.3674787970653774
TE6,3.647722327291314
TT2609C02,5.270135678951197
UACC62,4.700954647944058
