patient_id,ic50
22RV1,1.9871402740080706
2313287,2.111989649089921
42MGBA,3.653448428460845
A427,3.4776146450436896
BFTC905,1.3895803055148566
C32,1.007611951169369
EFO27,2.9118055804912575
EN,3.649071145863319
EPLC272H,2.9311072312698876
HCC1143,2.5700067704831673
HCC1954,2.6879857795453597
HCC366,3.8931523187149972
HDMYZ,4.460242109453425
HH,2.738383352599041
HL60,1.266561968312146
HPAC,1.6501140813258846
HSC4,2.9776812088971973
HT1080,1.4436116902777034
KE37,2.6176861979804813
KNS62,2.5090017548957846
KYM1,2.012155688284625
KYSE510,2.4519887868897614
LAMA84,-0.07243287198634896
LCLC97TM1,1.4071193920247749
LXF289,2.279089136102664
MEWO,0.5765125060284082
MV411,0.06952492837200941
NCIH1299,2.770375130820738
NCIH1341,2.7493542562224196
NCIH1838,3.4799340117330932
NCIH1876,4.358510900730628
NCIH2052,4.047149262338126
NCIH596,3.9695282953296207
NCIH810,2.7793465910676494
NCIN87,1.4108977802927225
ONS76,2.391321689530347
OVISE,2.8119447069132435
PANC0403,3.097102149872895
PANC0813,2.966461903853636
PSN1,-0.3024144075806552
QGP1,3.0242868778012104
RAJI,2.4966342752067425
SCC4,2.7856839613576194
SKLMS1,3.0949262375941555
SNU1,2.171065949407352
SNU398,2.6944810227240175
SUPM2,2.8324430469064557
SW1116,1.911552780835487
SW1573,2.759892871134583
SW1990,2.122834094864012
SW837,2.71688491045679
TE1,3.6385125950486024
TE6,2.5479760018692432
TT2609C02,3.018882762010035
UACC62,-0.10665216351599582
