patient_id,ic50
22RV1,-3.609280599096617
2313287,-4.686929590745919
42MGBA,-3.6362838259088917
A427,-3.1398501802120333
BFTC905,-5.849185677173956
C32,-1.9679816981714686
EFO27,-2.3364252925288165
EN,-2.7877344990574002
EPLC272H,-4.733370704323122
HCC1143,-1.7340546579158074
HCC1954,-3.6640025884829286
HCC366,-1.9284178791227056
HDMYZ,-4.164330824100456
HH,-6.26488829262591
HL60,-4.6251982616678715
HPAC,-2.9651419716828507
HSC4,-3.9285048507247144
HT1080,-4.883835107342398
KE37,-5.259385961353719
KNS62,-3.638149927988344
KYM1,-4.790433320278757
KYSE510,-5.669357435175397
LAMA84,-5.8119456224006845
LCLC97TM1,-3.4587982922280474
LXF289,-3.9761669622928384
MEWO,-2.9696609502547195
MV411,-5.818740521908009
NCIH1299,-4.706320215254628
NCIH1341,-4.0818487586638135
NCIH1838,-2.212381107733686
NCIH1876,-2.935122453416222
NCIH2052,-2.6349862348001736
NCIH596,-0.1513658091995036
NCIH810,-3.323019201790752
NCIN87,-2.9271960983605725
ONS76,-4.976691817995684
OVISE,-2.7931448366688243
PANC0403,-1.1451729513012427
PANC0813,-2.113714710931225
PSN1,-3.107130118443947
QGP1,-1.3086136196455707
RAJI,-5.752131877068884
SCC4,-3.973980088016723
SKLMS1,-4.232642525971654
SNU1,-6.172978399100208
SNU398,-5.102817579290335
SUPM2,-5.912824125079042
SW1116,-1.1972765753397434
SW1573,-4.228668481887576
SW1990,-2.287385678321156
SW837,-0.32851808682590145
TE1,-1.3576061036714515
TE6,-4.5440706258524814
TT2609C02,-3.869984815202114
UACC62,-3.2529997272029583
