patient_id,ic50
22RV1,-3.6953323117752523
2313287,-4.160206623572686
42MGBA,-3.955531978417308
A427,-0.47379057393019686
BFTC905,-5.636901875350587
C32,-1.6142527795731665
EFO27,-1.9858316562471825
EN,-2.656555675317042
EPLC272H,-4.6259319763266795
HCC1143,-2.5447739271070264
HCC1954,-2.523499620406686
HCC366,-1.5960721622980045
HDMYZ,-2.336799607525444
HH,-4.862003283224526
HL60,-4.849035674269068
HPAC,-2.6505753405172885
HSC4,-3.757990642952535
HT1080,-4.416728459485329
KE37,-5.700309066793132
KNS62,-3.684832691533027
KYM1,-1.4027002713020535
KYSE510,-4.611157588649687
LAMA84,-5.550270067126837
LCLC97TM1,-2.3538546726317424
LXF289,-4.140696493398468
MEWO,-1.926098595980374
MV411,-6.070303640293549
NCIH1299,-2.956221612601048
NCIH1341,-4.006483403254933
NCIH1838,-1.862887847325344
NCIH1876,-2.6342452360508952
NCIH2052,-1.847910916095573
NCIH596,0.45749745808193243
NCIH810,-1.1030651567132292
NCIN87,-3.520160551721587
ONS76,-3.353082952446861
OVISE,0.6651776886092322
PANC0403,-0.9292953303967779
PANC0813,-2.239363311800132
PSN1,-2.2430093763902876
QGP1,-0.9766496432521485
RAJI,-5.598760825631714
SCC4,-3.42182478823638
SKLMS1,-3.306117435414465
SNU1,-4.539417867162773
SNU398,-3.996750379076497
SUPM2,-4.072216316678891
SW1116,-2.4636260105643353
SW1573,-2.2140681190331177
SW1990,-0.34013977784974303
SW837,-1.4852661616899665
TE1,-2.5090027653971716
TE6,-1.0820766805464557
TT2609C02,-1.4024168786404294
UACC62,-2.07989184152129
