patient_id,ic50
22RV1,4.171382454789856
2313287,4.170942529304318
42MGBA,4.2141144119934415
A427,4.546170030504366
BFTC905,3.5476347162935964
C32,4.445351809826459
EFO27,4.091978630933244
EN,4.459175765785233
EPLC272H,3.538338071079025
HCC1143,2.060702322330697
HCC1954,3.493155216169593
HCC366,3.8187482517790237
HDMYZ,4.54555249136822
HH,1.4026364379800682
HL60,2.453401021473363
HPAC,3.701220524682463
HSC4,2.876452487350231
HT1080,3.823163475557761
KE37,-0.5824992967806115
KNS62,4.226483072323969
KYM1,4.3710397462096715
KYSE510,4.167169850112659
LAMA84,2.6264682322150197
LCLC97TM1,4.861127719115493
LXF289,4.016012747004
MEWO,4.4117156289615425
MV411,2.5411264105608433
NCIH1299,4.3032475033366815
NCIH1341,2.807427610292696
NCIH1838,4.338507075023797
NCIH1876,0.34159675254601574
NCIH2052,3.5851533019371438
NCIH596,4.19424652775902
NCIH810,4.111661741921694
NCIN87,3.8677037629329356
ONS76,3.3186905785592695
OVISE,3.1296559895402116
PANC0403,3.3341354796623763
PANC0813,3.2726494164220816
PSN1,4.596211818256381
QGP1,5.20696169489193
RAJI,2.4244350760020685
SCC4,3.1663656358268883
SKLMS1,3.160883051898943
SNU1,4.126750769008659
SNU398,4.924610351463302
SUPM2,2.568837886326222
SW1116,2.6339036965610547
SW1573,3.9411156035803154
SW1990,4.091799523250143
SW837,4.056639203315456
TE1,5.014147869311339
TE6,2.913552893465879
TT2609C02,3.6464020977640286
UACC62,4.7717601747654514
