patient_id,ic50
22RV1,2.4871661837801105
2313287,2.9760626441242355
42MGBA,4.3144204979208824
A427,3.62677130677903
BFTC905,4.6201334649269175
C32,4.9825703751219095
EFO27,3.312706699882845
EN,3.8919499988856194
EPLC272H,3.9538340780702574
HCC1143,2.4561931902602314
HCC1954,3.514144421732817
HCC366,4.173421222102679
HDMYZ,4.16360424313832
HH,2.7302993392030865
HL60,3.3879808923840464
HPAC,4.777381086262553
HSC4,3.1203115229069645
HT1080,3.6789452105777256
KE37,2.5922923559802094
KNS62,4.329090728957138
KYM1,3.012865213433565
KYSE510,3.126055772207042
LAMA84,2.92371618167816
LCLC97TM1,3.4275075700465463
LXF289,2.85248029334027
MEWO,4.549995691855842
MV411,2.5490080550403778
NCIH1299,3.646957226877769
NCIH1341,3.345878949127601
NCIH1838,4.483872673477863
NCIH1876,3.510055331705769
NCIH2052,4.115435132443751
NCIH596,3.831126702424894
NCIH810,4.476479443156327
NCIN87,3.343977368856066
ONS76,3.1859976753005577
OVISE,2.525952164358204
PANC0403,3.5509143276225554
PANC0813,4.486325957295084
PSN1,5.029259179424663
QGP1,4.96642637969283
RAJI,2.912349528576883
SCC4,4.077844569997046
SKLMS1,3.736897566254533
SNU1,3.2816803497840588
SNU398,4.371443182791299
SUPM2,3.0006109028690897
SW1116,4.575883625809607
SW1573,3.947156675851773
SW1990,4.858868505482912
SW837,3.4684807239053956
TE1,4.3548741000744595
TE6,4.712320789428709
TT2609C02,3.8797968589717287
UACC62,4.487740598721478
