patient_id,ic50
22RV1,3.391799805696484
2313287,3.950993406510346
42MGBA,3.910811413298172
A427,5.573654545467553
BFTC905,3.478928548156084
C32,2.8098125027929974
EFO27,4.24733205867851
EN,4.3943130051650545
EPLC272H,4.051982390385907
HCC1143,4.294960158902758
HCC1954,4.184731964057779
HCC366,5.0756556695150135
HDMYZ,5.2634548972891055
HH,1.8648381146694248
HL60,2.4174530770784317
HPAC,3.531309954369182
HSC4,4.730016443602602
HT1080,3.246406062015839
KE37,2.2867199858474967
KNS62,3.2191996161589063
KYM1,3.8134406098975266
KYSE510,2.9702369713757175
LAMA84,2.7660862579002066
LCLC97TM1,4.544920614737472
LXF289,3.137110403642313
MEWO,2.0750818954519428
MV411,1.646946596839495
NCIH1299,4.0795927309012505
NCIH1341,3.4915482306733723
NCIH1838,5.013175602932707
NCIH1876,4.4845989659214425
NCIH2052,5.047102695632374
NCIH596,4.7409345460915
NCIH810,3.2218894526816624
NCIN87,4.747786435124953
ONS76,3.33474954742687
OVISE,4.545074495877587
PANC0403,4.612731721069809
PANC0813,4.240665562989996
PSN1,5.135801765654715
QGP1,4.298507975640158
RAJI,1.7623569775688757
SCC4,4.09681973872043
SKLMS1,4.866688619347837
SNU1,2.8443517577861632
SNU398,2.899164586790867
SUPM2,1.426196860905781
SW1116,4.996210956148627
SW1573,5.457456126433802
SW1990,4.886265331697285
SW837,5.322540841856281
TE1,4.7846931565440265
TE6,3.6302468262761556
TT2609C02,5.964180501025325
UACC62,2.6241683400372837
