patient_id,ic50
22RV1,1.7711454354177079
2313287,2.2816633179117685
42MGBA,2.1055860619066924
A427,1.4864629985264561
BFTC905,1.2197710576421006
C32,3.112550497905944
EFO27,1.3031132978617874
EN,1.5535792915886824
EPLC272H,1.0911911480438552
HCC1143,2.873257676686481
HCC1954,2.750211615404887
HCC366,3.6910772917929044
HDMYZ,2.1055232181615327
HH,0.07164992863421604
HL60,0.777558648457086
HPAC,3.202878458913047
HSC4,2.11900251764752
HT1080,1.764829354496502
KE37,0.012652628629063134
KNS62,2.145942601765067
KYM1,1.2819446596102837
KYSE510,1.2545826723683629
LAMA84,0.7665998124267197
LCLC97TM1,2.869439434765312
LXF289,1.6008199659395128
MEWO,2.1211066161221765
MV411,0.07189681049800578
NCIH1299,1.3263333336078174
NCIH1341,0.5398330100812401
NCIH1838,3.9431609389263134
NCIH1876,2.2876624096788114
NCIH2052,3.7181412312955873
NCIH596,4.403331576925679
NCIH810,1.813795621433478
NCIN87,2.7551268162944
ONS76,2.520825651104965
OVISE,3.0196383163297127
PANC0403,4.139961509988615
PANC0813,3.2495703793444823
PSN1,2.949132460439303
QGP1,2.561586845370897
RAJI,0.3604339479816052
SCC4,2.840326737046171
SKLMS1,2.151115526000493
SNU1,0.16646082313340704
SNU398,0.878107334329336
SUPM2,0.18982539158995904
SW1116,3.5301137337866044
SW1573,3.922214245065039
SW1990,3.3122964702592537
SW837,3.9143600905783185
TE1,2.780278699355631
TE6,1.6921996563714408
TT2609C02,2.3774227837619386
UACC62,3.2352100708374723
