patient_id,ic50
22RV1,2.7939009015746024
2313287,4.5086029680614494
42MGBA,4.165214838849076
A427,3.0955594490015113
BFTC905,4.049467579679456
C32,4.263440073704662
EFO27,5.503265388819687
EN,3.45465221651244
EPLC272H,4.545352113240698
HCC1143,5.142837732563642
HCC1954,3.3493126008230965
HCC366,5.7837046651759785
HDMYZ,4.437413958123953
HH,3.156228197669101
HL60,3.5189869453473714
HPAC,4.3940448428320735
HSC4,3.9167918350306516
HT1080,3.7928209761605634
KE37,3.309274028210575
KNS62,4.43069202044097
KYM1,3.7099708507842446
KYSE510,3.169180733469198
LAMA84,3.7084853368613335
LCLC97TM1,5.1068445073764765
LXF289,4.0451952590295
MEWO,4.02521215156889
MV411,2.4482978521007146
NCIH1299,4.773856699181287
NCIH1341,2.8820580165761847
NCIH1838,5.0860067890173255
NCIH1876,2.785644848081237
NCIH2052,5.640766563154854
NCIH596,5.896983705133814
NCIH810,2.8222534786333795
NCIN87,4.625810834716366
ONS76,5.351531226244085
OVISE,3.574853856676339
PANC0403,5.247197049763664
PANC0813,5.046946513541965
PSN1,5.023232961880677
QGP1,3.2104663362496146
RAJI,2.678724174487492
SCC4,5.269781477649913
SKLMS1,5.208332076820082
SNU1,2.427401256197258
SNU398,3.088903531425613
SUPM2,3.106839655459166
SW1116,5.1908352416391645
SW1573,5.359732372119944
SW1990,6.278227801964077
SW837,5.4290544513559595
TE1,5.198610187012542
TE6,3.8644130921047206
TT2609C02,5.465569395975168
UACC62,4.498754585265325
