patient_id,ic50
22RV1,4.073168696161388
2313287,3.9180091920811098
42MGBA,4.848909838218695
A427,4.549913532809619
BFTC905,3.772750214116054
C32,5.240230704185879
EFO27,5.288505466003592
EN,4.403267177928233
EPLC272H,4.821874848448217
HCC1143,4.2425460452345405
HCC1954,4.262887063030806
HCC366,5.33754407395049
HDMYZ,5.279163021723635
HH,3.8137475777119665
HL60,4.2902551665486826
HPAC,3.6847425550940507
HSC4,4.5918492053041655
HT1080,4.089535236915655
KE37,3.9024630411265013
KNS62,3.9474142805085553
KYM1,4.578425269166047
KYSE510,4.034066739259109
LAMA84,3.699168949794322
LCLC97TM1,4.106228746744673
LXF289,4.156502336485567
MEWO,4.9900400470105115
MV411,3.396129512293565
NCIH1299,4.842474738870239
NCIH1341,4.328090070539757
NCIH1838,5.013636747854626
NCIH1876,4.895812784724681
NCIH2052,4.878440142774494
NCIH596,5.011380305283948
NCIH810,4.198847025767356
NCIN87,4.6233539438161655
ONS76,4.3843723159255905
OVISE,4.392154722826839
PANC0403,4.012711786962619
PANC0813,4.032327889388589
PSN1,4.380083184695269
QGP1,4.768077381553589
RAJI,3.4514955947922323
SCC4,4.454321271838067
SKLMS1,4.787131308202313
SNU1,4.350607976869758
SNU398,4.150239641015515
SUPM2,2.9438496687719446
SW1116,5.615568139137675
SW1573,4.636376481225162
SW1990,4.856265961146294
SW837,5.511125419048332
TE1,5.430675981410597
TE6,4.457325704123979
TT2609C02,4.732583490970835
UACC62,5.477203944023705
