patient_id,ic50
22RV1,0.795370981077034
2313287,1.9782912095243959
42MGBA,2.7434611851861566
A427,3.2949191417018304
BFTC905,1.1503411364495344
C32,3.7841920324498015
EFO27,2.7024004953881846
EN,2.1012508239060828
EPLC272H,1.6287750846762272
HCC1143,2.690342418223213
HCC1954,2.227891817165227
HCC366,3.336610641740987
HDMYZ,3.3246454192020325
HH,0.2988039528158515
HL60,1.3675293252181004
HPAC,3.2337596838030542
HSC4,1.4277717762773297
HT1080,1.9788858096605058
KE37,0.44193671368274234
KNS62,2.1172689820986497
KYM1,2.07605876767489
KYSE510,0.8615736729689591
LAMA84,0.9425165278726508
LCLC97TM1,2.3157149284266856
LXF289,1.9402946533242047
MEWO,3.7529383929672155
MV411,0.91427812072323
NCIH1299,1.3974654257561665
NCIH1341,0.7511845392788246
NCIH1838,4.429920101356796
NCIH1876,2.630554994506475
NCIH2052,4.059993281894451
NCIH596,4.071540681558362
NCIH810,2.8754454910875626
NCIN87,2.033954220912023
ONS76,1.0500541621035546
OVISE,2.760033215337522
PANC0403,3.9692078622174924
PANC0813,3.7670456501849676
PSN1,4.405044555861036
QGP1,3.736973119286848
RAJI,1.257653595657961
SCC4,1.979508785999018
SKLMS1,3.1990289129706238
SNU1,1.6840783550395304
SNU398,1.0993856960281385
SUPM2,0.8690888425695611
SW1116,3.361198766079683
SW1573,3.5004100126422792
SW1990,3.788169034144081
SW837,3.899793086984546
TE1,3.690306805536906
TE6,1.5548614200350075
TT2609C02,2.677746631097444
UACC62,3.8999762425680835
