patient_id,ic50
22RV1,2.4147215238204693
2313287,0.8075464629849813
42MGBA,2.577810299217452
A427,3.8875597978788257
BFTC905,2.8506316492072497
C32,2.821954935547668
EFO27,3.964469098545606
EN,3.282649399546543
EPLC272H,3.4631070051927457
HCC1143,2.3196490281232225
HCC1954,0.4931615387306785
HCC366,3.8329769523424155
HDMYZ,3.4206611994793663
HH,2.286974279435147
HL60,3.332355105489481
HPAC,3.250261857501391
HSC4,2.3001062493223756
HT1080,3.101222671838925
KE37,1.3759282970290436
KNS62,2.612973583419816
KYM1,3.8158691129573086
KYSE510,2.070745016128474
LAMA84,3.64039403741795
LCLC97TM1,4.64535422949466
LXF289,4.03209336018923
MEWO,3.5846039620523116
MV411,2.6906950544798716
NCIH1299,3.642189172130725
NCIH1341,1.4684644978816266
NCIH1838,4.255893182468972
NCIH1876,2.1902224300418958
NCIH2052,3.9958738629688235
NCIH596,2.678029570769606
NCIH810,1.6845700315844472
NCIN87,2.8110936510574036
ONS76,2.225261224328376
OVISE,4.410290668411053
PANC0403,3.2282409396034955
PANC0813,3.2966603696389085
PSN1,4.703502773421449
QGP1,0.4385167283811491
RAJI,1.9197552503999153
SCC4,3.0238592569212535
SKLMS1,3.615706010682853
SNU1,2.693505737036296
SNU398,3.160264902078503
SUPM2,2.9587963752452833
SW1116,4.604453920152212
SW1573,3.940606461796677
SW1990,3.4606716644124784
SW837,3.862616958085311
TE1,3.8173315344866503
TE6,2.862422334040218
TT2609C02,4.2145159833843975
UACC62,3.404723995040895
