patient_id,ic50
22RV1,3.5306163001982798
2313287,3.9956991376973465
42MGBA,3.8260376324034966
A427,3.2091097445418626
BFTC905,3.672643832072831
C32,4.302594876623782
EFO27,4.609351322630339
EN,4.309285158178095
EPLC272H,3.3533266955151757
HCC1143,3.4853788455730843
HCC1954,3.4091580626264535
HCC366,4.680551892613609
HDMYZ,3.575527153099537
HH,2.6357211812624444
HL60,2.5594940096139913
HPAC,4.4930715579677125
HSC4,3.798555082401448
HT1080,3.5560457647567345
KE37,2.7440016012355333
KNS62,3.9958420512925983
KYM1,3.1935177029216604
KYSE510,3.7903683083863617
LAMA84,2.931223541416881
LCLC97TM1,4.370644934290802
LXF289,4.2718988158527305
MEWO,4.008293960462317
MV411,2.2147777134426287
NCIH1299,3.423932685121071
NCIH1341,3.370665514628155
NCIH1838,4.3644594975633355
NCIH1876,3.859334301726651
NCIH2052,4.253777426520971
NCIH596,4.978719760102752
NCIH810,4.0186089805550695
NCIN87,4.121509917481605
ONS76,3.487348518376453
OVISE,4.344569265171054
PANC0403,4.348996514698855
PANC0813,4.329330242780331
PSN1,4.021389318853426
QGP1,4.037646121611919
RAJI,2.4638769339460755
SCC4,4.03697571004666
SKLMS1,4.064885096864628
SNU1,2.5906750074125275
SNU398,3.2838859207684035
SUPM2,2.737300938971006
SW1116,4.567129052880224
SW1573,4.202507361501152
SW1990,4.480141267614684
SW837,4.9981001560592
TE1,4.3550974841540535
TE6,4.013388344426903
TT2609C02,3.9982933449105604
UACC62,4.030425542383226
