"","5-Fluorouracil","ABT737","Acetalax","Afatinib","Afuresertib","AGI-5198","AGI-6780","Alisertib","Alpelisib","AMG-319","AT13148","Axitinib","AZ6102","AZ960","AZD1208","AZD1332","AZD2014","AZD3759","AZD4547","AZD5153","AZD5363","AZD5438","AZD5582","AZD5991","AZD6482","AZD6738","AZD7762","AZD8055","AZD8186","BI-2536","BIBR-1532","BMS-345541","BMS-536924","BMS-754807","Bortezomib","Buparlisib","Camptothecin","Carmustine","Cediranib","Cisplatin","Crizotinib","Cyclophosphamide","Cytarabine","CZC24832","Dabrafenib","Dactinomycin","Dactolisib","Daporinad","Dasatinib","Dihydrorotenone","Dinaciclib","Docetaxel","Doramapimod","Elephantin","Entinostat","Entospletinib","Epirubicin","EPZ004777","EPZ5676","Erlotinib","Fludarabine","Foretinib","Fulvestrant","Gallibiscoquinazole","Gefitinib","Gemcitabine","GNE-317","GSK1904529A","GSK2578215A","GSK2606414","GSK269962A","GSK343","GSK591","I-BET-762","I-BRD9","Ibrutinib","Ipatasertib","Irinotecan","IWP-2","JQ1","KU-55933","Lapatinib","LCL161","Leflunomide","LGK974","Linsitinib","LJI308","Luminespib","LY2109761","MG-132","MIM1","MIRA-1","Mirin","Mitoxantrone","MK-1775","MK-2206","MK-8776","ML323","MN-64","Navitoclax","Nelarabine","Nilotinib","Niraparib","NU7441","Nutlin-3a (-)","NVP-ADW742","Obatoclax Mesylate","OF-1","Olaparib","OSI-027","Osimertinib","OTX015","Oxaliplatin","P22077","Paclitaxel","Palbociclib","PCI-34051","PD0325901","PD173074","Pevonedistat","PF-4708671","PFI3","Pictilisib","PLX-4720","Podophyllotoxin bromide","PRIMA-1MET","PRT062607","Pyridostatin","Rapamycin","Ribociclib","RO-3306","Ruxolitinib","RVX-208","Sabutoclax","Sapitinib","Savolitinib","SB216763","SB505124","SCH772984","Selumetinib","Sepantronium bromide","Sinularin","Sorafenib","Staurosporine","Talazoparib","Tamoxifen","Taselisib","Telomerase Inhibitor IX","Temozolomide","Teniposide","Topotecan","Tozasertib","Trametinib","Ulixertinib","UMI-77","Uprosertib","VE-822","VE821","Venetoclax","Vinblastine","Vincristine","Vinorelbine","Vorinostat","VX-11e","Wee1 Inhibitor","WEHI-539","WIKI4","Wnt-C59","WZ4003","XAV939","YK-4-279","ZM447439","Zoledronate"
"5637",3.313258,2.631881,6.639999,-0.036451,4.2441,4.544496,4.682486,0.706669,3.595567,4.969635,5.427145,NA,2.328566,2.147739,5.660901,2.716121,1.704104,1.093429,2.728746,2.465343,3.587741,3.164891,2.345835,5.783541,NA,2.076129,0.40363,NA,3.791829,NA,5.069144,4.52505,1.796269,NA,-5.040545,0.417403,-2.31453,5.751071,2.732897,1.949298,4.447811,5.393143,2.460016,5.263081,4.781957,-4.2628355,-1.24298,NA,-1.954717,0.135731,-1.866181,-5.553314,NA,4.190962,1.018559,4.020577,-1.473872,5.747076,6.22498,0.723374,4.575404,0.418543,3.5355775,2.023558,1.831853,-1.767897,0.699332,5.617621,5.404289,3.178047,NA,3.171325,3.027449,4.198119,5.751531,3.945978,5.023208,2.229657,3.428227,NA,NA,2.152832,5.261706,4.487524,4.077287,4.208287,5.532448,-2.160732,5.941823,-1.946095,3.930852,5.95337,5.073879,1.184935,-0.520786,5.210958,3.791167,5.56254,5.819659,2.984122,6.217474,4.477423,4.433013,NA,5.243188,3.22291,1.225647,4.436849,4.255246,5.058043,0.522533,2.864739,4.3911095,4.225295,-4.320505,4.695227,5.938212,0.680802,4.859475,0.237971,NA,5.698285,1.881186,4.21778,-1.015333,4.020158,3.454306,2.679232,-0.501841,NA,NA,5.828756,5.566512,0.309852,1.718302,1.957588,NA,NA,2.229329,3.693371,-3.798249,3.921858,2.972289,-3.516543,2.21092,4.094658,1.822476,0.034335,5.301062,0.108547,-0.55256,NA,-0.563252,2.88436,3.946094,4.4533615,4.730639,3.941719,2.210227,NA,-2.318438,-5.196169,1.434107,2.808092,1.926655,2.8452,3.536451,4.366879,4.488451,5.424404,0.082844,NA,4.148671
"639V",4.410077,4.331129,5.565306,1.728613,3.072368,3.874526,3.606083,2.15707,4.181952,4.519618,5.290583,NA,2.594762,1.960404,5.30751,1.709686,1.998011,3.203565,1.537208,1.85826,3.086379,2.044927,3.580158,4.928578,NA,2.884306,0.524482,NA,2.677649,NA,3.855605,2.180626,1.824514,NA,-5.217017,0.846143,-5.115998,4.986541,1.688912,0.618066,3.660974,4.769291,2.625413,5.043671,5.23227,-4.7602615,-0.753863,NA,2.06035,-0.006439,-3.064554,-4.8693315,NA,2.803125,4.212253,3.804618,-2.410908,4.337485,4.338978,2.312151,5.697918,0.393031,3.5502535,2.162906,2.475056,-4.587367,0.774218,4.068106,5.192832,2.580122,NA,1.434211,NA,2.831987,3.430204,4.924214,3.422488,0.039772,1.375759,NA,NA,3.747392,3.573743,5.402275,3.325642,4.160544,4.904614,-3.870745,5.22566,-1.977871,3.611094,5.290867,4.127695,0.173666,0.756636,3.82613,4.198355,4.203089,4.89962,1.326406,5.672772,3.820425,4.690389,NA,4.713421,3.714201,0.793065,3.880442,2.675026,4.082992,1.947058,3.087195,3.2538155,2.834822,-3.935192,3.936173,4.580237,0.588384,3.288157,-1.140918,NA,4.93669,1.395693,5.566856,-0.705517,4.353424,3.879356,3.335119,-2.110662,NA,NA,4.560488,4.569584,-1.327835,4.247959,2.50505,NA,NA,3.054605,5.507719,-5.464149,2.967291,2.088023,-2.146264,0.716563,3.089203,2.683493,-0.388529,5.175687,-0.446555,-2.391341,NA,1.270118,2.5461115,4.595751,4.2973235,4.043897,4.56722,2.661936,-4.007594,-1.420343,-3.152506,2.687246,3.654413,1.848327,3.929314,3.719778,4.501633,4.78234,4.137965,1.517745,NA,3.031908
"647V",6.536331,3.506833,4.058897,1.955521,4.052789,5.13233,5.858503,4.492687,5.402659,5.374548,3.078882,NA,1.95897,3.609793,4.785829,4.667308,2.257396,2.289075,2.585911,2.520582,3.520245,2.804209,-3.120405,5.346593,NA,2.133896,-0.092236,NA,2.708593,NA,4.546537,3.466971,2.94789,NA,-5.464496,1.149009,-4.410302,5.91172,1.932868,1.329007,4.046578,5.532657,1.081747,5.225189,5.540901,-3.8870105,-1.083195,NA,0.862284,0.412014,-2.339976,-4.0511335,NA,2.755247,3.005194,4.126672,-1.861638,5.248711,4.879524,2.387702,6.167437,1.578809,4.20118,1.644715,3.481,-3.617076,0.55652,4.461642,5.016081,3.735017,NA,3.172395,4.972023,4.044493,4.851107,5.409176,4.797631,0.007318,2.999768,NA,NA,4.20406,5.439947,5.675438,4.486892,4.291464,5.447607,-1.504754,5.915057,-2.176736,4.52568,5.56781,4.16356,0.951962,0.421325,4.231781,4.437719,4.337112,5.696122,1.593963,5.936875,4.509121,2.296111,NA,5.381683,2.958442,0.491699,4.743242,1.848022,5.182731,2.169254,3.57609,5.2349885,4.084669,-0.882714,5.21825,4.71891,0.063677,4.510321,-1.638487,NA,5.246002,1.644613,5.530757,0.284837,5.715441,4.962018,2.787859,-1.485814,NA,NA,5.244659,5.811575,-0.74217,3.982004,1.267352,NA,NA,3.289185,3.802749,-5.826633,3.550849,3.002657,-3.156009,-1.202413,3.929389,2.975022,-0.090234,4.352855,-0.240533,-2.767146,NA,1.296656,3.2364135,1.734072,4.1925485,5.088938,5.124479,1.53108,-1.884646,-0.73848,-1.78949,1.895959,3.988963,1.406885,3.299804,3.917704,5.549692,4.808444,4.621069,3.045549,NA,4.113937
"697",2.436119,-2.455585,4.420606,0.284832,1.073273,3.84085,2.819839,-3.416395,2.040979,2.491233,1.919571,NA,1.155544,-0.80808,4.216285,2.86043,-0.250547,2.107766,0.533464,-1.861466,0.988186,-0.083159,NA,-2.993657,NA,-0.82171,-2.154886,NA,1.786289,NA,3.545812,1.912672,0.983949,NA,-5.431999,-0.376443,-5.004851,4.265847,1.367167,-0.108876,-0.258315,3.438652,-5.322397,3.357828,0.784699,-6.782442,-4.086379,NA,-0.001198,1.318721,-3.820049,-6.605281,NA,1.417506,-0.125563,1.387022,-5.149053,4.102392,3.412879,0.903279,0.195914,-1.66726,2.342711,1.715407,2.307113,-5.897144,-1.288203,2.195226,4.193955,1.321954,NA,1.823445,2.460389,0.284222,2.032677,3.209795,1.532804,-0.176903,1.97363,NA,NA,1.470354,3.560001,3.456488,3.450845,2.217838,3.490061,-4.607163,4.47239,-2.29721,1.589065,1.855417,3.939824,-3.602158,-1.80146,-0.046458,0.010842,3.21749,4.422731,-1.923001,1.861483,1.315064,-0.526931,NA,0.279019,1.214324,0.074656,4.493283,0.330962,NA,0.398296,-0.699199,0.7453485,1.742662,-5.971097,-1.691733,1.49129,-0.532158,0.990489,-1.357311,NA,4.466497,-1.455246,2.135134,-2.178044,1.172737,1.296504,1.383976,-4.264462,NA,NA,4.140655,3.200329,-2.740388,4.219933,1.343857,NA,NA,1.829417,3.83244,-5.712457,2.021455,1.296256,-6.149845,-4.125738,2.687643,1.227971,0.068052,5.12457,-2.879838,-1.942847,NA,0.576617,1.6096455,3.087104,1.341499,1.295032,0.983053,-3.805603,-6.31924,-4.713984,-6.194759,-0.14339,1.802846,-0.332807,2.762113,2.584377,2.588817,2.132927,4.276649,-0.566791,NA,2.299845
"769P",3.317243,1.668397,5.110563,0.839724,3.340892,5.668125,4.664958,3.437255,3.764075,4.611823,2.171517,NA,1.39498,1.847837,5.733527,3.60786,2.203368,0.696934,4.168353,0.571284,3.944353,1.621059,5.359129,5.840904,NA,0.738815,-1.209248,NA,3.255562,NA,4.593964,3.17295,2.896495,NA,-4.671174,1.260236,-2.139694,4.718217,1.601328,3.312665,4.082145,4.974381,0.570922,5.403427,3.582895,-3.9163315,-3.373533,-3.29427,-0.435392,1.043322,-2.730122,-3.023415,NA,2.238535,3.153248,4.240715,-1.654832,5.543499,4.407548,1.558255,3.606587,1.852068,3.671584,1.783227,1.445262,-2.5623,-0.457199,5.401166,5.681539,3.618048,NA,2.57553,3.85575,2.178712,4.507135,2.047404,4.748339,3.827394,2.392699,NA,NA,0.97853,5.165294,5.383954,4.061114,4.779037,4.787227,-1.521707,4.626177,-1.11134,4.785202,4.862853,7.542077,1.032187,-0.742891,4.111702,1.644604,5.422233,4.784638,1.232536,6.252298,1.462779,3.460303,NA,1.892281,2.389632,1.371896,3.932342,4.569357,NA,0.988346,0.580274,3.1949185,5.652498,-2.943308,1.566776,4.166189,0.217772,3.56396,1.694444,NA,5.355473,1.468783,4.192384,-0.931128,3.991571,3.62932,5.66987,-1.706253,NA,NA,4.715589,4.628897,-0.132302,1.82298,3.376598,NA,NA,2.909346,3.918987,-5.626608,3.302135,2.242857,-4.749378,2.287907,4.062316,2.767655,1.673988,6.482648,1.25448,0.80489,NA,-0.298859,2.687513,4.444287,3.516291,1.918859,1.989228,3.274677,-4.05379,-0.380199,-2.140937,1.16184,2.824295,1.109931,3.66899,4.485732,4.075539,3.992991,4.134877,2.010841,NA,3.82462
"7860",4.187099,3.281154,6.368333,1.344344,0.240921,3.979847,5.380115,1.68903,5.223006,4.403076,1.644914,NA,1.809151,1.801318,5.676359,2.960756,1.462694,2.166578,1.701502,2.754208,1.407692,1.638112,2.383379,5.543708,NA,0.754868,-0.958535,NA,1.640847,NA,4.740661,2.749567,2.508497,NA,-5.297135,0.958504,-3.494502,4.643936,1.270864,1.547541,4.0207,5.257218,0.885037,5.404132,4.842018,-5.100677,-1.989773,NA,-0.072983,2.137733,-2.43853,-4.042631,NA,2.444616,3.503674,2.811579,-2.243625,5.217222,5.902647,1.605101,5.40504,1.057732,3.96766,2.543733,3.977448,-2.063849,0.004604,5.440438,4.76016,3.319642,NA,2.671531,4.454835,2.449546,3.728126,4.638113,1.124393,1.519941,2.785925,NA,NA,1.606826,5.638491,5.453307,4.741839,3.708219,5.620147,-1.874894,5.663428,-2.307123,2.481617,5.180265,5.246566,-0.343263,-0.374583,2.058579,1.489267,3.827105,5.676383,1.589241,6.279819,3.872434,4.699309,NA,5.003131,2.186761,-0.183552,5.569891,3.656124,5.221941,1.793324,2.139636,3.1843935,2.619379,-0.499962,2.283558,3.910705,1.412749,4.606341,-0.182111,NA,5.469778,0.994853,4.706153,-0.728594,2.97436,3.78317,2.846937,-3.390631,NA,NA,5.441595,5.18648,-0.584787,4.173126,2.135208,NA,NA,3.428381,5.037191,-4.751429,3.74861,2.869115,-4.499542,3.454349,3.379487,2.797083,-0.427858,5.537905,-0.488246,-0.99823,NA,0.686185,2.6663925,4.081953,0.978483,3.127473,1.992535,2.08354,-4.160763,-1.277512,-4.981536,2.256705,3.004643,1.570083,3.074824,2.743559,4.346973,4.015295,4.867411,2.175587,NA,3.055151
"8305C",6.221018,1.902179,6.245323,2.101497,2.696265,5.550123,5.815471,4.238738,3.516154,4.329893,3.311704,NA,4.440318,3.326978,6.105963,6.251786,1.569751,3.605408,4.416013,1.729697,3.572394,3.130203,4.280853,6.596672,NA,2.487545,0.142888,NA,1.691501,NA,5.520643,2.968244,1.289446,NA,-5.461582,0.67516,-1.209881,6.77143,1.96846,5.64556,4.504026,4.720977,4.101913,6.149476,1.766195,-2.650545,-0.93493,-4.058059,-0.441158,2.073491,-1.82103,-3.6137005,NA,3.015118,3.839431,2.386352,-0.438548,5.754343,6.557588,3.398422,5.247943,1.170502,4.497088,3.602981,3.953418,1.834759,-0.465137,5.154705,4.342469,3.297327,NA,3.425412,4.827885,2.938476,3.858844,6.154755,3.368774,4.481523,3.602554,NA,NA,3.43096,5.455888,4.688208,6.114694,3.921372,5.636903,-1.213986,5.321921,-1.966249,4.506008,5.642621,4.858765,1.872675,1.772757,1.903889,3.78764,4.927908,4.509665,2.412065,6.558056,3.802428,5.926636,NA,5.459118,2.26789,1.306196,4.808454,4.562601,NA,2.413579,1.076365,6.2862215,6.200587,-0.407174,2.707872,4.370668,-0.744306,2.71721,4.390291,NA,5.795732,0.510228,2.917361,-1.452331,3.328936,2.644806,3.323126,-0.815744,NA,NA,5.442969,4.306916,1.530623,5.274262,3.101431,NA,NA,2.121813,2.182888,-3.924029,3.295214,3.50996,-2.671614,5.601546,4.107224,0.864169,1.392561,6.342051,1.610505,0.503216,NA,0.155903,3.5152245,2.730106,5.375549,4.471217,3.41633,2.169904,-3.859655,-3.855537,-3.578892,1.865473,2.930189,2.320581,4.058438,5.286738,5.189104,3.36124,4.77228,2.371878,NA,3.475569
"8505C",6.114016,3.42978,7.410993,2.184346,3.632768,4.115858,3.975091,4.962369,6.218958,5.309638,6.374424,NA,2.304557,3.905862,5.880544,6.274038,2.833082,3.584984,2.775515,0.327602,4.583481,3.303492,1.363127,5.909918,NA,3.376968,1.280269,NA,5.529166,NA,5.39183,3.820834,3.419719,NA,-5.169452,1.504341,-2.979316,7.423928,2.876803,5.405921,4.636209,5.108032,4.737497,4.868335,2.967638,-3.234079,0.644327,NA,0.887491,3.17214,-2.313005,-1.541638,NA,3.594978,1.852419,3.305345,-1.562643,6.625416,6.731728,3.60897,6.819488,1.347429,4.8814425,4.053223,4.630968,-2.180484,3.771381,4.047882,5.563276,3.564071,NA,2.620077,4.47917,1.876457,4.403261,6.365651,5.047558,2.540147,3.631548,NA,NA,5.372323,6.147449,5.307065,4.945979,5.419545,6.186503,-2.74768,6.374424,-2.233787,2.999115,6.374424,5.542235,1.081941,2.067206,5.185026,3.839636,4.106564,6.027821,1.824091,7.067571,5.082249,4.036393,NA,5.715711,2.513113,-0.011168,6.261368,3.974311,6.151998,2.880363,1.003235,6.056995,5.120075,0.294479,5.790202,3.08384,0.065968,5.300713,0.547827,NA,4.956256,3.498783,4.651426,1.464037,3.136835,3.571334,3.155045,-0.038395,NA,NA,5.693562,3.709505,-0.571098,6.131767,2.104067,NA,NA,1.487869,2.98767,-5.236136,4.727515,3.507672,-3.501553,4.176283,3.435819,5.238681,-0.091461,5.216684,0.183328,-0.34936,NA,-0.875786,2.4902935,1.810611,5.04473,2.979963,6.24884,2.122853,-0.967389,1.638064,-2.337909,1.996235,2.6497,3.678373,2.889721,3.701968,4.40293,4.037202,5.493325,3.23657,NA,4.690231
"8MGBA",3.266237,2.926464,4.475541,1.20003,0.935102,4.793905,4.297659,1.00401,2.804447,4.948148,2.137099,NA,1.518291,1.248897,4.484528,3.223896,1.06645,2.716042,3.283131,0.791727,2.019581,2.033748,1.054198,-0.366784,NA,0.056868,-1.574874,NA,2.598725,NA,4.141332,2.345018,1.496773,NA,-5.600329,-0.007113,-4.584382,4.828962,1.859987,1.885695,2.85454,4.660614,-0.477277,3.846916,4.064301,-5.585164,-3.08268,NA,-0.999179,2.342162,-3.040038,-5.528808,NA,2.539256,2.295753,2.218145,-3.02314,4.565032,4.469689,2.474888,5.40276,0.274948,3.3658945,2.739451,2.487818,-3.972012,-0.468273,4.155645,3.910461,2.213503,NA,1.783236,3.807221,1.803575,3.66828,4.673266,2.858466,0.700585,1.419926,NA,NA,1.989821,3.896234,4.4687,4.711453,3.138012,4.567476,-3.678548,4.29768,-2.070179,2.092276,4.974974,4.03309,0.009177,-0.605202,2.139379,3.726917,3.736925,4.094175,2.361378,6.00851,2.685289,1.848226,NA,4.611846,1.432922,-0.30942,4.463393,1.909419,4.025481,2.235868,0.574373,3.791013,2.830702,-5.059806,2.96286,3.360201,0.032518,3.41498,-1.157841,NA,4.169728,0.59081,2.947504,-1.498302,2.928183,2.420476,1.972413,-2.905466,NA,NA,4.978966,3.818337,-2.079944,3.241266,1.316922,NA,NA,2.119173,4.068363,-5.721677,2.825911,1.707233,-4.83027,-0.228542,2.683838,1.25011,-0.483616,4.921946,-0.888281,-1.542925,NA,0.432037,2.6589095,2.38594,2.251473,2.736596,2.769864,1.836041,-5.089951,-3.064482,-3.212701,1.313207,2.629256,0.533867,3.33075,2.4252,2.988058,2.087089,4.313786,0.712615,NA,2.947158
"A101D",4.053363,0.479688,6.748141,1.479529,2.224939,5.200894,4.171821,1.295755,3.884018,3.291475,2.845622,NA,1.253157,1.796439,4.59193,3.067839,0.590959,2.664455,2.99603,0.428022,1.741831,1.236018,-4.754283,3.964179,NA,0.947284,0.261929,NA,1.886248,NA,4.495692,4.734494,3.022646,NA,-6.875025,0.265335,-2.864103,5.705124,2.033417,1.684414,2.405517,5.431703,0.442027,4.35182,-1.17881,-4.644744,-3.404008,NA,1.664055,1.576947,-3.310103,-4.7972375,NA,2.400678,1.295566,2.904579,-2.203895,4.30146,5.273748,1.76638,4.594367,0.398093,4.236184,2.627518,3.476113,-4.53965,-0.083747,5.040487,4.772979,2.39968,NA,2.035067,4.984584,2.316791,3.731709,5.886854,3.55179,2.401777,2.822769,NA,NA,2.429374,2.458516,4.851494,4.636903,4.762975,3.831845,-2.028988,5.7708,-3.328349,3.861453,4.2746,4.534796,0.9479,0.086555,2.716913,2.772226,4.795138,4.75414,1.594745,6.187498,2.78148,5.127169,NA,2.205154,1.919374,-0.04125,4.826842,3.717642,4.563631,3.032214,1.328991,4.8384795,3.185608,-3.940124,3.213708,4.266103,-2.167806,3.941214,-0.268935,NA,5.580215,0.791929,1.307282,-1.381478,3.226426,3.699891,3.515414,-4.446922,NA,NA,5.040196,4.932232,-1.13686,5.01512,2.338235,NA,NA,0.69328,0.905362,-6.081911,3.052565,2.417259,-3.17528,2.749446,2.413904,1.569251,-1.01169,6.116719,0.231042,0.10339,NA,-2.565789,1.3243805,2.448471,1.8635355,4.610136,4.638807,1.307279,-3.979771,-2.633787,-4.478529,1.503996,0.979316,2.213224,2.329108,3.603683,4.988599,1.979464,4.059255,1.800479,NA,3.785744
