"","LN_IC50"
"1",2.168003
"2",3.051137
"3",0.687747
"4",0.652471
"5",0.874302
"6",5.095888
"7",5.168499
"8",0.746455
"9",2.034585
"10",4.618705
"11",1.398445
"12",2.029025
"13",1.526864
"14",4.671017
"15",1.930872
"16",-0.383823
"17",3.206312
"18",1.371171
"19",0.632429
"20",1.019439
"21",1.44139
"22",0.879295
"23",2.950501
"24",1.516047
"25",0.3283
"26",0.471459
"27",3.461911
"28",1.678843
"29",2.273154
"30",-5.354256
"31",-0.045463
"32",-3.276945
"33",6.181
"34",1.683494
"35",3.985785
"36",3.922377
"37",4.536312
"38",0.10929
"39",4.485461
"40",5.535671
"41",-4.5308145
"42",-2.648527
"43",1.200988
"44",0.764098
"45",-3.000515
"46",-5.2109985
"47",4.034322
"48",2.28089
"49",4.043386
"50",-2.02479
"51",5.653527
"52",5.795101
"53",1.902667
"54",3.523701
"55",1.296862
"56",3.697545
"57",2.253378
"58",1.917081
"59",-1.023505
"60",-0.815365
"61",3.431381
"62",5.164485
"63",3.160482
"64",2.683142
"65",3.484378
"66",3.720084
"67",3.51101
"68",5.218323
"69",1.70515
"70",1.977462
"71",3.136339
"72",2.776144
"73",5.481636
"74",4.809329
"75",4.157251
"76",3.719157
"77",5.022082
"78",-1.797417
"79",5.519808
"80",-1.590646
"81",4.476811
"82",5.416903
"83",3.222326
"84",0.154754
"85",-0.14513
"86",0.186595
"87",1.634005
"88",4.002634
"89",5.115531
"90",0.615932
"91",6.007531
"92",3.809302
"93",3.860452
"94",2.368299
"95",2.381129
"96",0.619715
"97",4.453523
"98",5.102666
"99",4.815779
"100",1.72955
"101",2.200023
"102",4.3916335
"103",5.04413
"104",-3.6618
"105",3.223218
"106",4.758616
"107",0.04408
"108",2.332281
"109",1.114285
"110",5.54976
"111",-1.015219
"112",4.569855
"113",-1.333767
"114",4.777564
"115",3.174203
"116",2.645773
"117",-3.548923
"118",5.415417
"119",4.321911
"120",-0.713452
"121",2.738978
"122",3.155613
"123",1.532113
"124",3.125865
"125",-2.754345
"126",4.40685
"127",2.47683
"128",-4.08997
"129",2.41862
"130",3.087794
"131",-0.320857
"132",0.669108
"133",5.194991
"134",-0.736102
"135",-0.237327
"136",-1.101323
"137",2.526244
"138",5.285172
"139",0.188871
"140",4.053539
"141",2.409138
"142",2.176614
"143",-4.77083
"144",-3.294943
"145",-5.256226
"146",0.866942
"147",1.761494
"148",1.79764
"149",3.996362
"150",3.841691
"151",5.266275
"152",3.440264
"153",4.182666
"154",1.911579
"155",3.594734
"156",3.362543
"157",3.02294
"158",5.546097
"159",1.723549
"160",0.561507
"161",4.680624
"162",4.800641
"163",1.485959
"164",2.992025
"165",5.247738
"166",3.004648
"167",2.475681
"168",1.071731
"169",5.150479
"170",2.004515
"171",0.593152
"172",2.934145
"173",0.952577
"174",0.81195
"175",1.403266
"176",1.928227
"177",1.602146
"178",5.38077
"179",1.565993
"180",-1.033307
"181",1.912013
"182",5.355642
"183",2.205889
"184",1.662988
"185",-4.65347
"186",0.509344
"187",-2.906706
"188",6.315252
"189",0.298115
"190",2.56301
"191",3.392776
"192",5.142124
"193",1.035739
"194",4.794652
"195",4.55764
"196",-4.231256
"197",-3.280197
"198",-1.852363
"199",1.70469
"200",-3.422078
"201",-4.2470725
"202",3.512637
"203",2.261338
"204",2.537928
"205",-2.54215
"206",5.352169
"207",5.128559
"208",3.384925
"209",5.027533
"210",-0.981786
"211",4.045351
"212",2.200911
"213",3.853929
"214",-3.731167
"215",-0.712248
"216",4.365921
"217",5.221195
"218",2.509598
"219",2.905183
"220",4.298847
"221",3.279735
"222",4.006147
"223",4.098416
"224",1.911757
"225",1.765592
"226",2.464026
"227",3.271705
"228",5.174342
"229",5.825146
"230",3.566074
"231",4.474981
"232",5.362251
"233",-2.756768
"234",4.278323
"235",-1.533623
"236",1.846511
"237",5.488675
"238",3.984367
"239",1.658553
"240",2.279117
"241",1.646529
"242",2.373217
"243",4.770288
"244",5.271014
"245",2.486457
"246",6.002802
"247",1.996017
"248",2.144146
"249",5.533789
"250",1.889513
"251",0.742598
"252",5.271024
"253",3.210166
"254",5.2836
"255",1.488888
"256",2.329908
"257",4.1297345
"258",3.975347
"259",-3.400965
"260",5.160666
"261",4.859961
"262",1.961409
"263",3.231395
"264",-0.101957
"265",5.445102
"266",0.476855
"267",4.585977
"268",-0.753426
"269",5.835371
"270",2.303465
"271",3.33904
"272",-3.730394
"273",3.999542
"274",4.172442
"275",-0.062657
"276",4.136671
"277",1.906081
"278",2.964445
"279",4.503593
"280",-5.090263
"281",2.364931
"282",1.820209
"283",-6.297467
"284",1.733347
"285",3.787142
"286",0.896352
"287",0.085305
"288",5.499546
"289",0.468732
"290",-0.592506
"291",0.971772
"292",3.1477085
"293",2.966542
"294",1.6821965
"295",4.369735
"296",4.150422
"297",2.773902
"298",-4.778541
"299",-2.135342
"300",-3.921809
"301",1.80464
"302",2.899096
"303",2.966137
"304",4.043738
"305",3.687273
"306",4.574813
"307",3.853185
"308",3.916266
"309",1.723414
"310",3.555334
"311",6.221018
"312",1.902179
"313",6.245323
"314",2.101497
"315",2.696265
"316",5.550123
"317",5.815471
"318",4.238738
"319",3.516154
"320",4.329893
"321",3.311704
"322",4.440318
"323",3.326978
"324",6.105963
"325",6.251786
"326",1.569751
"327",3.605408
"328",4.416013
"329",1.729697
"330",3.572394
"331",3.130203
"332",4.280853
"333",6.596672
"334",2.487545
"335",0.142888
"336",1.691501
"337",5.520643
"338",2.968244
"339",1.289446
"340",-5.461582
"341",0.67516
"342",-1.209881
"343",6.77143
"344",1.96846
"345",5.64556
"346",4.504026
"347",4.720977
"348",4.101913
"349",6.149476
"350",1.766195
"351",-2.650545
"352",-0.93493
"353",-4.058059
"354",-0.441158
"355",2.073491
"356",-1.82103
"357",-3.6137005
"358",3.015118
"359",3.839431
"360",2.386352
"361",-0.438548
"362",5.754343
"363",6.557588
"364",3.398422
"365",5.247943
"366",1.170502
"367",4.497088
"368",3.602981
"369",3.953418
"370",1.834759
"371",-0.465137
"372",5.154705
"373",4.342469
"374",3.297327
"375",3.425412
"376",4.827885
"377",2.938476
"378",3.858844
"379",6.154755
"380",3.368774
"381",4.481523
"382",3.602554
"383",3.43096
"384",5.455888
"385",4.688208
"386",6.114694
"387",3.921372
"388",5.636903
"389",-1.213986
"390",5.321921
"391",-1.966249
"392",4.506008
"393",5.642621
"394",4.858765
"395",1.872675
"396",1.772757
"397",1.903889
"398",3.78764
"399",4.927908
"400",4.509665
"401",2.412065
"402",6.558056
"403",3.802428
"404",5.926636
"405",5.459118
"406",2.26789
"407",1.306196
"408",4.808454
"409",4.562601
"410",2.413579
"411",1.076365
"412",6.2862215
"413",6.200587
"414",-0.407174
"415",2.707872
"416",4.370668
"417",-0.744306
"418",2.71721
"419",4.390291
"420",5.795732
"421",0.510228
"422",2.917361
"423",-1.452331
"424",3.328936
"425",2.644806
"426",3.323126
"427",-0.815744
"428",5.442969
"429",4.306916
"430",1.530623
"431",5.274262
"432",3.101431
"433",2.121813
"434",2.182888
"435",-3.924029
"436",3.295214
"437",3.50996
"438",-2.671614
"439",5.601546
"440",4.107224
"441",0.864169
"442",1.392561
"443",6.342051
"444",1.610505
"445",0.503216
"446",0.155903
"447",3.5152245
"448",2.730106
"449",5.375549
"450",4.471217
"451",3.41633
"452",2.169904
"453",-3.859655
"454",-3.855537
"455",-3.578892
"456",1.865473
"457",2.930189
"458",2.320581
"459",4.058438
"460",5.286738
"461",5.189104
"462",3.36124
"463",4.77228
"464",2.371878
"465",3.475569
"466",5.542559
"467",2.993892
"468",-0.370128
"469",2.348975
"470",1.810873
"471",4.876139
"472",3.498961
"473",2.277029
"474",4.64529
"475",4.36702
"476",4.219191
"477",2.547233
"478",2.448958
"479",5.601725
"480",3.615257
"481",2.336569
"482",4.15706
"483",0.353019
"484",2.976175
"485",2.674821
"486",2.749339
"487",-5.461386
"488",4.66549
"489",2.713157
"490",-0.254395
"491",2.397744
"492",5.931445
"493",3.196651
"494",2.801546
"495",-4.843719
"496",0.876475
"497",-1.720835
"498",6.783605
"499",-0.594229
"500",4.971433
"501",4.662604
"502",5.963191
"503",0.905954
"504",6.061368
"505",3.291705
"506",-3.874577
"507",-0.806369
"508",0.534535
"509",0.845339
"510",-0.568166
"511",-0.622865
"512",3.797796
"513",4.401
"514",5.496682
"515",-2.34279
"516",6.175189
"517",6.724994
"518",2.829057
"519",4.641606
"520",-0.698247
"521",4.2711305
"522",3.833971
"523",4.280226
"524",-1.887435
"525",0.85039
"526",5.022198
"527",5.964552
"528",1.688586
"529",3.554866
"530",6.048901
"531",4.557788
"532",4.366157
"533",5.816464
"534",4.076029
"535",2.726639
"536",2.973228
"537",4.856639
"538",6.258462
"539",5.087523
"540",3.918193
"541",3.971835
"542",4.938285
"543",-1.593387
"544",4.840803
"545",-1.909142
"546",3.205083
"547",6.258462
"548",4.508225
"549",0.260666
"550",1.916023
"551",3.898475
"552",2.951874
"553",4.738162
"554",5.222328
"555",1.624976
"556",6.951609
"557",1.74092
"558",4.922762
"559",2.925096
"560",2.909128
"561",2.703498
"562",3.349499
"563",4.448967
"564",5.702668
"565",1.415052
"566",5.99017
"567",3.5632455
"568",4.391712
"569",-0.824556
"570",3.699882
"571",4.855382
"572",1.405106
"573",2.929035
"574",0.924168
"575",6.193187
"576",1.695769
"577",5.293298
"578",1.053065
"579",3.512693
"580",6.031359
"581",3.800253
"582",-2.678283
"583",4.463329
"584",6.243182
"585",-0.669511
"586",4.552537
"587",1.510565
"588",3.082408
"589",5.268058
"590",-4.771231
"591",3.726347
"592",1.398674
"593",-3.570056
"594",3.201498
"595",3.945395
"596",2.810783
"597",0.00066
"598",7.166744
"599",0.688929
"600",1.842422
"601",1.080085
"602",3.009449
"603",4.34662
"604",3.2184485
"605",4.789333
"606",4.346813
"607",1.848298
"608",-2.356682
"609",1.409863
"610",-1.912768
"611",2.483406
"612",3.465695
"613",3.683563
"614",3.926073
"615",3.427972
"616",4.789507
"617",5.519728
"618",5.910635
"619",3.76145
"620",4.37924
"621",4.540757
"622",2.76747
"623",4.367728
"624",1.834321
"625",1.521153
"626",3.439182
"627",4.033958
"628",1.210163
"629",4.289099
"630",3.740116
"631",3.982625
"632",1.105506
"633",1.660105
"634",4.885463
"635",4.416142
"636",0.928172
"637",1.773696
"638",2.806366
"639",2.074777
"640",1.692763
"641",1.606624
"642",0.164269
"643",2.085112
"644",1.142406
"645",-0.334416
"646",2.698129
"647",4.106231
"648",3.016507
"649",2.3537
"650",-5.73058
"651",0.48153
"652",-3.757428
"653",5.659782
"654",1.720783
"655",2.857686
"656",2.942708
"657",3.953898
"658",0.168482
"659",3.514687
"660",3.993173
"661",-4.9760635
"662",-3.318818
"663",3.080983
"664",2.312747
"665",-2.96255
"666",-6.5943525
"667",2.795386
"668",1.585661
"669",3.233522
"670",-2.879168
"671",4.381792
"672",4.460236
"673",1.788462
"674",4.438692
"675",0.58914
"676",3.2872375
"677",2.334741
"678",3.00898
"679",-1.727177
"680",-0.374122
"681",4.046327
"682",4.190031
"683",2.741691
"684",2.195215
"685",4.636412
"686",2.741766
"687",3.570568
"688",4.549698
"689",2.466015
"690",0.895518
"691",1.89319
"692",2.119688
"693",4.529952
"694",5.450959
"695",4.607817
"696",3.812511
"697",4.514789
"698",-4.202117
"699",4.453401
"700",-1.826801
"701",3.106962
"702",4.637326
"703",4.179954
"704",-0.193154
"705",0.00781
"706",2.759083
"707",3.925477
"708",4.257206
"709",4.564348
"710",1.827037
"711",5.330246
"712",3.486873
"713",2.701349
"714",4.572467
"715",1.802498
"716",-0.117839
"717",4.080658
"718",2.300463
"719",4.545008
"720",1.243679
"721",1.326717
"722",4.288847
"723",2.094811
"724",-5.628624
"725",3.805877
"726",3.506732
"727",-1.821956
"728",3.484013
"729",-1.10427
"730",3.942492
"731",1.177197
"732",3.149031
"733",-1.339307
"734",3.103618
"735",2.791717
"736",2.073711
"737",-2.576992
"738",4.608617
"739",3.298445
"740",-0.639175
"741",3.664443
"742",1.206413
"743",1.362171
"744",2.515016
"745",-5.385831
"746",2.48769
"747",2.185071
"748",-2.755019
"749",1.774784
"750",2.109896
"751",-0.338149
"752",5.721405
"753",-1.197299
"754",-0.884274
"755",-0.798058
"756",1.5398485
"757",2.116413
"758",2.0982305
"759",3.289933
"760",4.293782
"761",1.157948
"762",-5.549113
"763",-3.74038
"764",-5.398511
"765",1.241993
"766",2.544676
"767",1.089994
"768",3.538176
"769",3.457485
"770",3.490921
"771",1.884816
"772",4.568808
"773",0.363947
"774",2.673867
"775",4.057461
"776",2.540945
"777",5.995185
"778",1.732498
"779",3.303443
"780",4.707989
"781",4.144572
"782",0.840234
"783",4.509372
"784",5.39233
"785",5.425986
"786",1.573818
"787",1.582086
"788",6.005647
"789",3.7237
"790",1.242036
"791",3.106114
"792",2.983163
"793",1.422462
"794",3.602777
"795",0.940282
"796",2.379057
"797",5.179067
"798",1.852143
"799",-0.071437
"800",3.664187
"801",4.361026
"802",2.707678
"803",0.928855
"804",-5.362124
"805",0.648003
"806",-4.517416
"807",6.210566
"808",1.72946
"809",2.451449
"810",3.470459
"811",5.177536
"812",-0.712451
"813",5.13476
"814",-3.467089
"815",-5.1667265
"816",-2.514162
"817",-4.89857
"818",3.445014
"819",2.265781
"820",-4.117223
"821",-5.442914
"822",1.703031
"823",1.849949
"824",3.319239
"825",-2.359484
"826",5.034225
"827",6.459827
"828",3.067472
"829",4.092237
"830",0.477362
"831",4.144329
"832",2.859873
"833",4.119112
"834",-4.679079
"835",0.160444
"836",4.714088
"837",5.366643
"838",3.558523
"839",2.697697
"840",4.483635
"841",3.085875
"842",4.736707
"843",5.969945
"844",3.996445
"845",0.640628
"846",3.741121
"847",2.466355
"848",5.288226
"849",4.812698
"850",4.903677
"851",3.047109
"852",4.54564
"853",-4.037037
"854",5.407182
"855",-1.953016
"856",3.713366
"857",6.144408
"858",4.112071
"859",-1.465712
"860",0.070045
"861",4.360951
"862",3.941043
"863",4.830309
"864",5.408931
"865",2.073224
"866",7.070711
"867",3.641679
"868",2.996524
"869",1.808178
"870",1.671543
"871",0.092699
"872",4.956928
"873",3.553531
"874",5.085159
"875",2.090594
"876",2.07358
"877",3.378617
"878",3.330994
"879",-4.217032
"880",2.723005
"881",3.441726
"882",-3.871759
"883",5.007348
"884",-0.951849
"885",5.524575
"886",1.317479
