,DRUG_NAME,mean,sd
5-Fluorouracil,5-Fluorouracil,4.837880706,1.798789959
ABT737,ABT737,1.996230868,1.967659182
Acetalax,Acetalax,4.432383619,2.289886639
Afatinib,Afatinib,1.79824834,1.505943607
Afuresertib,Afuresertib,2.532279295,1.575858946
AGI-5198,AGI-5198,4.72805426,0.927909032
AGI-6780,AGI-6780,4.227249503,1.089954226
Alisertib,Alisertib,1.836521678,2.230328489
Alpelisib,Alpelisib,3.640868627,1.466349014
AMG-319,AMG-319,4.869368963,1.167894002
AT13148,AT13148,3.747140275,1.678362346
AZ6102,AZ6102,2.667755053,1.130735994
AZ960,AZ960,2.110923924,1.719987352
AZD1208,AZD1208,5.300586604,1.014903263
AZD1332,AZD1332,3.767135726,1.526505992
AZD2014,AZD2014,2.155493647,1.448889024
AZD3759,AZD3759,2.654105077,1.052555965
AZD4547,AZD4547,2.809972349,1.611761037
AZD5153,AZD5153,1.55301987,1.97513096
AZD5363,AZD5363,2.964175735,1.513765153
AZD5438,AZD5438,2.393735072,1.536922361
AZD5582,AZD5582,2.116323667,2.311902445
AZD5991,AZD5991,3.780564751,2.832672242
AZD6738,AZD6738,2.212620683,1.543205697
AZD7762,AZD7762,0.152270621,1.51406204
AZD8186,AZD8186,3.246982998,1.380520623
BIBR-1532,BIBR-1532,4.961139932,1.110529588
BMS-345541,BMS-345541,3.490204299,1.298152966
BMS-536924,BMS-536924,2.205042976,1.327160011
Bortezomib,Bortezomib,-4.676926744,1.140036231
Buparlisib,Buparlisib,1.112308857,0.931570157
Camptothecin,Camptothecin,-2.104495967,1.959535268
Carmustine,Carmustine,6.188952524,0.995902576
Cediranib,Cediranib,2.279757898,1.263154773
Cisplatin,Cisplatin,3.439188851,1.956765853
Crizotinib,Crizotinib,3.082555764,1.549104511
Cyclophosphamide,Cyclophosphamide,5.257044826,0.941252757
Cytarabine,Cytarabine,1.735803022,2.243666474
CZC24832,CZC24832,5.088421306,0.990435052
Dabrafenib,Dabrafenib,4.37011379,1.899914088
Dactinomycin,Dactinomycin,-3.441212178,1.470480202
Dactolisib,Dactolisib,-1.387282315,1.515621623
Daporinad,Daporinad,-3.948509045,2.119990523
Dasatinib,Dasatinib,1.471855665,2.28413961
Dihydrorotenone,Dihydrorotenone,0.738533941,1.582296914
Dinaciclib,Dinaciclib,-2.482794256,1.476793695
Docetaxel,Docetaxel,-3.270564995,2.209095196
Elephantin,Elephantin,3.657901501,1.463702297
Entinostat,Entinostat,2.355376025,1.608540789
Entospletinib,Entospletinib,3.739551426,1.193901332
Epirubicin,Epirubicin,-0.768480414,1.657798976
EPZ004777,EPZ004777,5.236135911,0.924406006
EPZ5676,EPZ5676,5.641818043,1.012347846
Erlotinib,Erlotinib,2.567923872,1.222971162
Fludarabine,Fludarabine,4.778748383,1.914974005
Foretinib,Foretinib,0.985889707,1.440240455
Fulvestrant,Fulvestrant,3.759598589,1.000185757
Gallibiscoquinazole,Gallibiscoquinazole,2.662305231,0.90271176
Gefitinib,Gefitinib,3.189730633,1.209398381
Gemcitabine,Gemcitabine,-0.171807886,3.26481665
GNE-317,GNE-317,0.727888278,1.370727094
