,ATTX.CRPC.102,ATTX.CRPC.107,ATTX.CRPC.29,ATTX.CRPC.35,ATTX.CRPC.36,ATTX.CRPC.43,ATTX.CRPC.47,ATTX.CRPC.78,ATTX.CRPC.81,ATTX.CRPC.89,ATTX.ENZR.100,ATTX.ENZS.101,ATTX.ENZR.103,ATTX.ENZR.104,ATTX.ENZR.105,ATTX.ENZS.106,ATTX.ENZS.17,ATTX.ENZR.21,ATTX.ENZR.23,ATTX.ENZS.28,ATTX.ENZR.33,ATTX.ENZS.45,ATTX.ENZS.49,ATTX.ENZS.56,ATTX.ENZS.57,ATTX.ENZS.6,ATTX.ENZR.64,ATTX.ENZR.65,ATTX.ENZR.72,ATTX.ENZR.75,ATTX.ENZS.76,ATTX.ENZS.79,ATTX.ENZS.80,ATTX.ENZR.87,ATTX.ENZR.94,ATTX.ENZR.95,ATTX.ENZR.98,ATTX.PRE-CX.111,ATTX.PRE-CX.112,ATTX.PRE-CX.4,ATTX.PRE-CX.5,ATTX.PRE-CX.53,ATTX.PRE-CX.58,ATTX.PRE-CX.62,ATTX.PRE-CX.67,ATTX.PRE-CX.9,ATTX.POST-CX.18,ATTX.POST-CX.44,ATTX.POST-CX.48,ATTX.POST-CX.66,ATTX.POST-CX.86,ATTX.POST-CX.91,ATTX.POST-CX.92,ATTX.POST-CX.99
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.49802033,0.204777466,0.344687036,0.029442164,-0.177099675,0.165606161,-0.161269687,0.092147848,0.467587352,0.213731025,0.032559084,-0.199868985,-0.209040533,-0.188642968,-0.204285635,-0.27083746,-0.338061119,0.190119028,-0.362168176,-0.10707828,0.218162222,0.288813671,-0.433075739,-0.150469283,-0.491436493,-0.383120022,-0.294684054,-0.349752231,-0.011077378,0.052945519,-0.087212692,0.009752636,-0.519681096,-0.348629549,-0.068341582,-0.260198272,-0.466324549,0.298953593,0.334360279,0.38560634,0.460335464,-0.003500397,0.30769971,0.48293371,0.367775377,0.310279144,-0.265831556,-0.170910712,-0.230387086,-0.237977977,-0.360895658,-0.430755913,-0.213873083,-0.13863578
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.457017712,0.181872117,0.446991069,-0.00543837,0.179627442,0.195464721,-0.362796218,0.429635581,0.724798434,0.481003034,0.437464025,0.262546816,-0.562423418,-0.260365178,-0.038191873,0.251861712,-0.536086996,-0.054284384,-0.776411487,-0.461313859,0.322886028,-0.197680092,-0.252547901,-0.075933791,-0.373244579,-0.432544513,-0.335125253,-0.54641653,0.136405919,0.010122114,-0.62856995,-0.087171728,-0.6460155,-0.745366097,0.093801795,0.257125138,-0.453878486,-0.147452187,0.570937305,0.376780506,0.546624406,0.494626551,0.232923931,0.10916096,-0.216775274,-0.50682915,-0.044569821,0.270701181,-0.587865934,0.255997407,0.014060888,-0.692427923,0.217140759,0.490085289
KEGG_PENTOSE_PHOSPHATE_PATHWAY,0.456024688,0.21374752,0.491109754,0.011302556,-0.275445382,-0.07563979,-0.187322741,0.19800988,0.491355617,0.420888034,0.039457278,0.113512015,-0.303200758,-0.170254204,-0.292583873,0.045087871,-0.456434596,0.202970036,-0.526412817,-0.29777038,0.11951597,0.281976154,-0.290858925,-0.082646956,-0.470292204,-0.562051118,-0.089940486,-0.419272967,0.17798147,0.127171806,-0.296060996,0.0177157,-0.549658659,-0.517883003,-0.17545093,0.161466066,-0.329614659,0.323421268,0.191716381,0.265489918,0.41747195,-0.222016978,0.158927247,0.406655546,-0.001074113,0.045226419,-0.18479008,-0.023986155,-0.442297883,0.142844847,-0.189251706,-0.596886718,0.12674042,0.06408616
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,-0.314006465,-0.501546093,-0.068834207,-0.293955462,-0.310310282,0.147846475,0.450986807,-0.247899196,0.238548845,-0.347968613,-0.067490791,-0.374344956,0.548509469,0.114282627,0.47015453,-0.383459081,-0.046984755,0.098701193,-0.066171349,0.261085385,-0.319579895,0.166083183,-0.575150954,-0.290079281,-0.047836715,0.238882079,-0.28485754,-0.071950049,0.058472259,0.478792061,-0.290074419,0.28446701,0.142702345,-0.118407511,0.252907972,-0.009423882,0.207737138,0.069954749,-0.025223074,0.168078877,0.028061957,0.112276122,-0.213694474,0.049453131,-0.295992835,-0.094866771,-0.123023831,-0.285738927,-0.274136607,-0.175241325,0.103465016,-0.139635703,0.05351993,-0.087952227
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.396552239,0.204584915,0.349479851,-0.147150492,-0.385761466,-0.270850446,-0.245759412,-0.089866266,0.51183333,0.284138586,-0.142271372,-0.19249628,-0.373616819,0.075413039,-0.286499636,-0.215390899,-0.317601216,0.064722181,-0.495731381,-0.019065193,0.437654233,0.438919038,-0.409676773,-0.005707504,-0.608314422,-0.454183352,0.001532043,-0.400230851,0.240929445,0.170071914,0.06520272,-0.101821962,-0.569951833,-0.577424035,0.016387692,-0.318288865,-0.42858804,0.256263032,0.415745089,0.393622587,0.55616173,0.123898791,0.225628848,0.545705159,0.47076348,0.416644093,-0.283144707,-0.339065439,-0.519135363,-0.118414104,-0.398252037,-0.538907074,-0.182870998,-0.182371121
KEGG_GALACTOSE_METABOLISM,0.306636985,-0.227145255,0.4130691,-0.241453993,-0.426028813,-0.065981632,-0.33408223,-0.111614364,0.517495395,-0.035273038,-0.146959613,0.034925178,-0.279178405,-0.314556586,-0.405608876,-0.286072452,-0.049372795,0.354880738,-0.404186915,0.209975513,0.371752823,0.359965494,-0.243478244,-0.083017494,-0.36544295,-0.257042312,-0.077338764,0.017570714,0.207064022,-0.266061793,-0.2196529,0.147502224,-0.400813264,-0.505971736,0.284904788,-0.126575567,-0.33578825,0.175795143,0.260337173,0.325881967,0.472199107,0.060743371,0.16671763,0.554500312,0.358643342,-0.050439654,-0.360277944,-0.188810556,-0.551944339,0.027718989,-0.346997088,-0.550433177,0.167638674,-0.343998688
KEGG_ASCORBATE_AND_ALDARATE_METABOLISM,-0.149345789,-0.506923865,0.163796673,-0.29604627,-0.214410482,0.241404252,0.461197006,-0.220405887,0.141952487,-0.496592515,0.043701462,-0.268247068,0.662406645,-0.079011385,0.486559564,-0.477308777,-0.086046626,-0.004264263,-0.039672861,0.342065529,-0.518825499,0.112645278,-0.569798765,-0.437133191,-0.038569155,0.342996836,-0.377102513,-0.083304615,-0.110571989,0.486312214,-0.344520275,0.352451312,0.207617227,0.170900828,0.325367396,-0.022915793,-0.000212181,0.054063771,-0.158542177,0.101171481,0.10985755,0.15292262,-0.366934187,-0.137924821,-0.190532118,-0.015629729,-0.076671462,-0.018984981,-0.053080601,-0.037399418,0.223230335,-0.001770235,0.018522987,-0.331784498
KEGG_FATTY_ACID_METABOLISM,-0.155959512,-0.231668946,0.422486894,-0.077714421,0.253323973,-0.071031673,-0.164884378,0.316616974,0.173762177,0.293967947,0.068488061,0.370789299,-0.118041946,-0.111496784,0.422943115,0.342939274,-0.345987251,-0.136623803,-0.45709529,-0.238567116,-0.04966831,0.035845576,-0.027752694,0.168551101,0.044490773,-0.049610717,0.031364574,0.002415102,0.178665933,0.015571322,-0.328119662,0.155101648,-0.288051067,-0.446534835,-0.292093152,0.192287135,-0.259097187,-0.274647986,0.143896605,0.235962206,0.320579786,0.082762048,-0.023793101,-0.028540867,-0.34285496,-0.257832273,-0.208060279,-0.199860758,-0.436422311,0.200904323,0.004793277,-0.442894664,0.162442548,0.165763588
KEGG_STEROID_BIOSYNTHESIS,0.579586274,0.494848623,0.381141043,0.388007063,0.291368718,0.535401021,-0.469697501,0.361606504,0.664593127,0.149040031,-0.287037371,0.322354504,-0.520903121,-0.508981,-0.379478316,0.116682491,-0.403570045,-0.319623208,-0.48543354,0.165955035,0.029532137,-0.020648841,-0.437692079,0.017354596,-0.326542066,-0.379540193,0.056395136,-0.489829804,-0.23387501,0.567637818,-0.43134018,0.025700054,-0.094609884,-0.676880725,0.339815022,-0.122129743,-0.2284651,-0.012192199,0.55420063,0.161089904,0.436045245,0.500867222,0.430659384,0.429257988,-0.012105771,-0.133410051,-0.388749869,-0.419778864,-0.580727208,-0.30091611,-0.337518606,-0.526948264,-0.058424823,-0.163324883
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,-0.072347677,-0.136745767,0.216054203,0.015679198,0.009211589,0.269441936,0.129044794,0.146905699,0.292324632,-0.254965263,-0.053998754,0.033226084,0.237396099,0.017147766,-0.0257764,0.257374232,-0.143903539,0.227571285,0.026598475,0.480637821,0.470869547,0.109797879,0.196749857,-0.337125048,0.018864693,-0.121875484,0.134305987,0.102091678,0.324933453,0.043745025,-0.173409174,-0.012403468,-0.124966703,-0.522228273,-0.088425931,-0.020614543,0.173157137,-0.099002712,-0.276993828,-0.447523925,-0.00165127,-0.117527309,0.192365784,-0.18634741,-0.332698354,-0.182284385,-0.040178776,-0.346822837,-0.133231643,-0.154808547,-0.376490936,-0.124549459,0.084417623,-0.38509623
